idx,send_s,status,latency_ms,queue_wait_ms,batch_size,queue_depth_at_enqueue
0,0.0000,200,1044.55,10.01,1.0,0.0
1,0.0564,200,2096.06,985.46,8.0,0.0
2,0.1122,200,2045.02,929.13,8.0,1.0
3,0.1676,200,1989.93,873.13,8.0,2.0
4,0.2232,200,1929.55,818.37,8.0,3.0
5,0.2784,200,1877.92,762.85,8.0,4.0
6,0.3339,200,1822.62,707.14,8.0,5.0
7,0.3896,200,1767.22,651.26,8.0,6.0
8,0.4453,200,1710.73,595.70,8.0,7.0
9,0.5011,200,2756.82,1647.45,8.0,8.0
10,0.5566,200,2698.85,1592.06,8.0,9.0
11,0.6120,503,4.04,nan,nan,10.0
12,0.6673,503,2.69,nan,nan,10.0
13,0.7232,503,2.83,nan,nan,10.0
14,0.7792,503,2.67,nan,nan,10.0
15,0.8351,503,1.64,nan,nan,10.0
16,0.8899,503,2.67,nan,nan,10.0
17,0.9458,503,2.81,nan,nan,10.0
18,1.0018,503,2.87,nan,nan,10.0
19,1.0558,200,2201.79,1093.89,8.0,2.0
20,1.1121,200,2139.93,1037.32,8.0,3.0
21,1.1676,200,2089.59,971.97,8.0,4.0
22,1.2232,200,2031.71,925.31,8.0,5.0
23,1.2788,200,1975.79,869.31,8.0,6.0
24,1.3347,200,1920.41,813.83,8.0,7.0
25,1.3902,200,2969.19,1858.57,8.0,8.0
26,1.4457,200,2918.18,1803.29,8.0,9.0
27,1.5011,503,3.87,nan,nan,10.0
28,1.5562,503,2.78,nan,nan,10.0
29,1.6122,503,2.63,nan,nan,10.0
30,1.6681,503,2.89,nan,nan,10.0
31,1.7242,503,2.94,nan,nan,10.0
32,1.7784,503,2.78,nan,nan,10.0
33,1.8344,503,3.03,nan,nan,10.0
34,1.8906,503,2.73,nan,nan,10.0
35,1.9466,503,3.02,nan,nan,10.0
36,2.0008,503,2.93,nan,nan,10.0
37,2.0570,503,2.81,nan,nan,10.0
38,2.1131,503,2.86,nan,nan,10.0
39,2.1677,200,2195.04,1082.30,8.0,2.0
40,2.2231,200,2142.09,1026.55,8.0,3.0
41,2.2788,200,2086.77,971.02,8.0,4.0
42,2.3344,200,2028.64,915.42,8.0,5.0
43,2.3899,200,1973.34,859.53,8.0,6.0
44,2.4456,200,1918.01,804.25,8.0,7.0
45,2.5012,200,2966.14,1855.61,8.0,8.0
46,2.5558,200,2910.98,1800.64,8.0,9.0
47,2.6118,503,2.96,nan,nan,10.0
48,2.6680,503,2.86,nan,nan,10.0
49,2.7240,503,2.88,nan,nan,10.0
50,2.7781,503,2.82,nan,nan,10.0
51,2.8342,503,2.78,nan,nan,10.0
52,2.8901,503,3.05,nan,nan,10.0
53,2.9464,503,2.91,nan,nan,10.0
54,3.0005,503,2.81,nan,nan,10.0
55,3.0565,503,1.45,nan,nan,10.0
56,3.1121,503,1.49,nan,nan,10.0
57,3.1678,503,2.94,nan,nan,10.0
58,3.2240,503,2.91,nan,nan,10.0
