tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
paid,0.0001,200,1110.92,10.01,0,0.0
free,0.0005,200,1111.35,9.81,0,1.0
paid,0.1013,200,2143.50,1006.94,0,0.0
paid,0.2012,200,2047.60,906.47,0,1.0
paid,0.3008,200,1944.94,807.09,0,2.0
paid,0.4012,200,1845.02,706.74,0,3.0
paid,0.5005,200,1746.17,607.38,0,4.0
paid,0.6010,200,1644.23,506.65,0,5.0
paid,0.7007,200,1540.10,406.67,0,6.0
paid,0.8007,200,1447.61,306.91,0,7.0
paid,0.9004,200,2457.44,1337.06,0,8.0
free,1.0012,503,7.10,nan,0,9.0
paid,1.0021,503,5.28,nan,0,9.0
paid,1.1005,503,3.00,nan,0,9.0
paid,1.2012,200,2158.25,1037.19,0,1.0
paid,1.3009,200,2056.68,937.41,0,2.0
paid,1.4008,200,1952.66,837.54,0,3.0
paid,1.5005,200,1857.71,737.81,0,4.0
paid,1.6012,200,1756.04,636.33,0,5.0
paid,1.7008,200,1656.16,536.14,0,6.0
paid,1.8009,200,1557.65,435.80,0,7.0
paid,1.9010,200,2563.97,1448.94,0,8.0
paid,2.0006,503,13.26,nan,0,9.0
free,2.0012,503,13.41,nan,0,9.0
paid,2.1008,503,3.26,nan,0,9.0
paid,2.2004,503,3.14,nan,0,9.0
paid,2.3021,200,2163.10,1048.44,0,1.0
paid,2.4011,200,2065.97,949.44,0,2.0
paid,2.5009,200,1965.65,849.65,0,3.0
paid,2.6007,200,1865.99,749.63,0,4.0
paid,2.7005,200,1766.39,650.08,0,5.0
paid,2.8003,200,1665.07,550.36,0,6.0
paid,2.9011,200,1562.79,449.61,0,7.0
free,3.0008,200,2585.72,1460.02,0,8.0
paid,3.0018,503,3.76,nan,0,9.0
paid,3.1008,503,3.01,nan,0,9.0
paid,3.2011,503,3.01,nan,0,9.0
paid,3.3004,503,3.13,nan,0,9.0
paid,3.4006,200,2184.97,1061.77,0,1.0
paid,3.5003,200,2084.31,961.89,0,2.0
paid,3.6011,200,1983.82,861.11,0,3.0
paid,3.7009,200,1879.77,761.39,0,4.0
paid,3.8006,200,1784.68,661.56,0,5.0
paid,3.9003,200,1684.05,562.11,0,6.0
paid,4.0011,200,1582.97,460.26,0,7.0
free,4.0020,200,2698.51,1575.81,0,8.0
paid,4.1012,503,3.63,nan,0,9.0
paid,4.2011,503,2.96,nan,0,9.0
paid,4.3003,503,2.75,nan,0,9.0
paid,4.4003,503,2.99,nan,0,9.0
paid,4.5002,200,2199.56,1077.90,0,1.0
paid,4.6009,200,2100.90,977.20,0,2.0
paid,4.7007,200,1999.36,877.41,0,3.0
paid,4.8004,200,1899.85,777.57,0,4.0
paid,4.9012,200,1800.33,676.16,0,5.0
free,5.0010,200,2824.90,1693.68,0,6.0
paid,5.0020,200,1695.80,575.74,0,7.0
paid,5.1011,200,1598.47,476.97,0,8.0
paid,5.2008,503,3.04,nan,0,9.0
paid,5.3011,503,2.88,nan,0,9.0
paid,5.4003,503,3.05,nan,0,9.0
paid,5.5006,503,3.14,nan,0,9.0
paid,5.6007,200,2224.26,1095.21,0,1.0
paid,5.7003,200,2124.42,995.37,0,2.0
paid,5.8011,200,2024.39,894.56,0,3.0
paid,5.9008,200,1923.99,794.83,0,4.0
paid,6.0008,200,1821.97,693.74,0,5.0
free,6.0017,200,2957.37,1817.05,0,6.0
paid,6.1012,200,1723.38,594.64,0,7.0
paid,6.2008,200,1623.61,495.29,0,8.0
paid,6.3011,503,2.41,nan,0,9.0
paid,6.4007,503,2.49,nan,0,9.0
paid,6.5005,503,2.26,nan,0,9.0
paid,6.6010,503,2.44,nan,0,9.0
paid,6.7019,200,2256.99,1118.57,0,1.0
paid,6.8009,200,2158.56,1019.09,0,2.0
paid,6.9002,200,2058.75,919.93,0,3.0
free,7.0006,200,3080.54,1953.23,0,4.0
