tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
paid,0.0001,200,1128.00,10.02,0,0.0
free,0.0005,200,1128.03,9.85,0,1.0
paid,0.1013,200,4074.75,1023.96,0,0.0
paid,0.2009,200,3969.82,921.56,0,1.0
paid,0.3007,200,3875.69,825.68,0,2.0
paid,0.4011,200,3774.52,724.89,0,3.0
paid,0.5010,200,3675.15,624.13,0,4.0
paid,0.6004,200,3575.48,525.04,0,5.0
paid,0.7007,200,3474.69,424.05,0,6.0
paid,0.8006,200,3375.92,325.53,0,7.0
paid,0.9011,200,4416.66,3270.10,0,8.0
free,1.0003,503,5.17,nan,0,9.0
paid,1.0013,503,5.18,nan,0,9.0
paid,1.1007,503,3.03,nan,0,9.0
paid,1.2018,200,4118.53,2969.67,0,1.0
paid,1.3005,200,4020.19,2870.73,0,2.0
paid,1.4005,200,3914.13,2770.97,0,3.0
paid,1.5011,200,3816.93,2670.31,0,4.0
paid,1.6007,200,3719.23,2569.72,0,5.0
paid,1.7004,200,3617.03,2470.53,0,6.0
paid,1.8004,200,3516.73,2370.66,0,7.0
paid,1.9012,200,4533.27,3410.86,0,8.0
paid,2.0010,503,93.52,nan,0,9.0
free,2.0015,503,93.35,nan,0,9.0
paid,2.1010,503,1.61,nan,0,9.0
paid,2.2009,503,3.15,nan,0,9.0
paid,2.3004,503,3.19,nan,0,9.0
paid,2.4009,503,3.30,nan,0,9.0
paid,2.5005,503,3.16,nan,0,9.0
paid,2.6010,503,3.18,nan,0,9.0
paid,2.7005,503,3.09,nan,0,9.0
paid,2.8009,503,3.13,nan,0,9.0
paid,2.9003,503,3.12,nan,0,9.0
free,3.0008,503,4.60,nan,0,9.0
paid,3.0018,503,4.61,nan,0,9.0
paid,3.1007,503,3.07,nan,0,9.0
paid,3.2011,503,3.17,nan,0,9.0
paid,3.3006,503,3.14,nan,0,9.0
paid,3.4010,503,3.10,nan,0,9.0
paid,3.5004,503,3.20,nan,0,9.0
paid,3.6009,503,2.34,nan,0,9.0
paid,3.7005,503,1.92,nan,0,9.0
paid,3.8007,503,3.15,nan,0,9.0
paid,3.9011,503,3.36,nan,0,9.0
paid,4.0007,503,4.51,nan,0,9.0
free,4.0017,503,4.85,nan,0,9.0
paid,4.1008,503,2.32,nan,0,9.0
paid,4.2007,200,2231.23,1112.07,0,1.0
paid,4.3010,200,2127.33,1011.47,0,2.0
paid,4.4006,200,2033.45,911.95,0,3.0
paid,4.5010,200,1930.27,811.95,0,4.0
paid,4.6010,200,1832.71,711.06,0,5.0
paid,4.7011,200,1730.45,611.44,0,6.0
paid,4.8006,200,1630.38,511.63,0,7.0
paid,4.9004,200,2643.07,1525.48,0,8.0
free,5.0013,503,4.78,nan,0,9.0
paid,5.0023,503,4.74,nan,0,9.0
paid,5.1003,503,3.05,nan,0,9.0
paid,5.2006,503,3.32,nan,0,9.0
paid,5.3012,503,3.08,nan,0,9.0
paid,5.4009,200,2142.89,1024.90,0,1.0
paid,5.5008,200,2043.37,925.07,0,2.0
paid,5.6006,200,1941.90,825.21,0,3.0
paid,5.7004,200,1837.98,725.48,0,4.0
paid,5.8012,200,1741.65,624.71,0,5.0
paid,5.9010,200,1642.16,524.90,0,6.0
paid,6.0007,200,1541.49,424.13,0,7.0
free,6.0017,200,2659.30,1533.45,0,8.0
paid,6.1011,503,4.07,nan,0,9.0
paid,6.2004,503,3.11,nan,0,9.0
paid,6.3009,503,3.01,nan,0,9.0
paid,6.4011,503,3.22,nan,0,9.0
paid,6.5007,200,2160.90,1034.89,0,1.0
paid,6.6005,200,2056.33,934.98,0,2.0
paid,6.7004,200,1961.79,835.14,0,3.0
paid,6.8003,200,1861.00,735.32,0,4.0
paid,6.9011,200,1760.80,634.21,0,5.0
free,7.0009,200,2775.33,1651.92,0,6.0
paid,7.0019,200,1658.75,533.12,0,7.0
paid,7.1005,200,1562.11,435.28,0,8.0
paid,7.2012,503,3.27,nan,0,9.0
paid,7.3007,503,2.64,nan,0,9.0
paid,7.4007,503,2.64,nan,0,9.0
paid,7.5006,503,2.85,nan,0,9.0
paid,7.6003,200,2177.00,1053.88,0,1.0
paid,7.7011,200,2077.24,953.10,0,2.0
paid,7.8009,200,1976.11,853.37,0,3.0
paid,7.9006,200,1875.34,753.37,0,4.0
free,8.0007,200,2894.55,1769.64,0,5.0
paid,8.0016,200,1774.45,652.16,0,6.0
paid,8.1008,200,1675.80,553.43,0,7.0
paid,8.2005,200,1573.49,453.62,0,8.0
paid,8.3003,503,2.75,nan,0,9.0
paid,8.4003,503,3.13,nan,0,9.0
