concurrency,worker,index,status,latency_ms,wait_ms,inference_ms,batch_size,ttft_client_ms,ttft_server_ms
1,0,0,200,828.421,10.016,815.629,1.00,nan,29.663
1,0,1,200,830.076,10.015,817.896,1.00,nan,29.664
1,0,2,200,831.452,10.008,819.204,1.00,nan,29.533
1,0,3,200,831.707,10.005,819.163,1.00,nan,29.597
1,0,4,200,827.936,10.017,815.287,1.00,nan,29.757
1,0,5,200,828.498,10.008,815.842,1.00,nan,29.607
1,0,6,200,832.307,10.006,819.437,1.00,nan,29.572
1,0,7,200,828.672,10.014,815.717,1.00,nan,29.519
1,0,8,200,830.263,10.008,815.778,1.00,nan,29.490
1,0,9,200,829.731,10.011,816.730,1.00,nan,29.539
1,0,10,200,829.198,10.009,816.182,1.00,nan,29.533
1,0,11,200,828.462,10.005,815.703,1.00,nan,29.548
1,0,12,200,829.293,10.005,816.608,1.00,nan,29.452
1,0,13,200,830.333,10.004,817.388,1.00,nan,29.567
1,0,14,200,830.302,10.024,817.509,1.00,nan,29.549
1,0,15,200,831.224,10.016,818.049,1.00,nan,29.653
1,0,16,200,837.830,10.011,824.444,1.00,nan,29.719
1,0,17,200,830.451,10.011,817.031,1.00,nan,29.561
1,0,18,200,832.898,10.008,819.720,1.00,nan,29.617
1,0,19,200,831.401,10.008,818.068,1.00,nan,29.520
1,0,20,200,829.453,10.009,816.246,1.00,nan,29.558
1,0,21,200,829.815,10.014,816.892,1.00,nan,29.529
1,0,22,200,828.657,10.012,815.713,1.00,nan,29.513
1,0,23,200,831.191,10.023,818.173,1.00,nan,29.570
1,0,24,200,828.362,10.015,815.341,1.00,nan,29.555
1,0,25,200,832.291,10.053,819.338,1.00,nan,29.589
1,0,26,200,830.816,10.012,817.872,1.00,nan,29.552
1,0,27,200,831.626,10.010,818.276,1.00,nan,29.643
1,0,28,200,834.290,10.010,821.305,1.00,nan,29.520
1,0,29,200,830.867,10.010,817.741,1.00,nan,29.696
1,0,30,200,838.318,10.015,825.318,1.00,nan,29.682
1,0,31,200,839.217,10.012,825.945,1.00,nan,29.618
1,0,32,200,831.625,10.014,818.912,1.00,nan,29.594
1,0,33,200,836.592,10.009,824.643,1.00,nan,29.590
1,0,34,200,830.764,10.006,818.778,1.00,nan,29.584
1,0,35,200,829.582,10.011,817.585,1.00,nan,29.629
1,0,36,200,829.103,10.012,817.197,1.00,nan,29.583
1,0,37,200,830.784,10.014,818.975,1.00,nan,29.516
1,0,38,200,829.934,10.007,817.552,1.00,nan,29.588
1,0,39,200,831.489,10.012,818.262,1.00,nan,29.526
2,0,0,200,906.683,10.016,890.203,2.00,nan,30.703
2,1,0,200,907.367,9.754,890.203,2.00,nan,30.440
2,0,1,200,903.931,10.043,887.928,2.00,nan,30.283
2,1,1,200,903.292,9.678,887.928,2.00,nan,29.918
2,0,2,200,904.063,10.045,888.938,2.00,nan,30.097
2,1,2,200,903.967,9.697,888.938,2.00,nan,29.749
2,0,3,200,903.457,10.018,888.261,2.00,nan,30.041
2,1,3,200,903.461,9.756,888.261,2.00,nan,29.779
2,0,4,200,904.412,10.011,889.658,2.00,nan,30.113
2,1,4,200,904.439,9.734,889.658,2.00,nan,29.836
2,0,5,200,902.889,10.014,888.128,2.00,nan,30.018
2,1,5,200,902.851,9.755,888.128,2.00,nan,29.759
2,0,6,200,905.222,10.015,891.013,2.00,nan,29.895
2,1,6,200,905.865,9.760,891.013,2.00,nan,29.640
2,0,7,200,903.640,10.016,888.834,2.00,nan,30.019
2,1,7,200,903.624,9.680,888.834,2.00,nan,29.683
2,0,8,200,906.531,10.027,891.723,2.00,nan,30.047
2,1,8,200,906.590,9.685,891.723,2.00,nan,29.705
2,0,9,200,903.671,10.034,888.667,2.00,nan,30.086
2,1,9,200,903.849,9.680,888.667,2.00,nan,29.732
2,0,10,200,905.967,10.054,890.430,2.00,nan,30.051
2,1,10,200,905.104,9.714,890.430,2.00,nan,29.712
2,0,11,200,904.835,10.012,890.674,2.00,nan,30.014
2,1,11,200,905.521,9.753,890.674,2.00,nan,29.756
2,0,12,200,903.258,10.132,888.145,2.00,nan,30.240
2,1,12,200,903.255,9.757,888.145,2.00,nan,29.865
2,0,13,200,908.204,10.024,893.167,2.00,nan,30.070
2,1,13,200,908.208,9.680,893.167,2.00,nan,29.727
2,0,14,200,906.447,10.080,890.969,2.00,nan,30.378
2,1,14,200,906.432,9.715,890.969,2.00,nan,30.013
2,0,15,200,909.576,10.075,893.774,2.00,nan,30.206
2,1,15,200,909.005,9.725,893.774,2.00,nan,29.856
2,0,16,200,905.651,10.019,890.599,2.00,nan,30.062
