idx,send_s,status,latency_ms,queue_wait_ms,batch_size,queue_depth_at_enqueue
0,0.0000,200,1047.68,10.01,1.0,0.0
1,0.0563,200,2101.98,988.89,8.0,0.0
2,0.1118,200,2042.41,933.48,8.0,1.0
3,0.1672,200,1990.49,877.30,8.0,2.0
4,0.2224,200,1935.68,822.90,8.0,3.0
5,0.2789,200,1881.25,765.49,8.0,4.0
6,0.3344,200,1824.27,710.09,8.0,5.0
7,0.3898,200,1769.51,654.54,8.0,6.0
8,0.4451,200,1713.81,599.11,8.0,7.0
9,0.5008,200,2763.73,1650.44,8.0,8.0
10,0.5561,200,2710.11,1595.10,8.0,9.0
11,0.6115,200,2653.66,1539.42,8.0,10.0
12,0.6670,200,2594.20,1478.08,8.0,11.0
13,0.7233,200,2542.55,1427.66,8.0,12.0
14,0.7790,200,2485.86,1372.17,8.0,13.0
15,0.8344,200,2426.45,1316.53,8.0,14.0
16,0.8898,200,2375.68,1261.31,8.0,15.0
17,0.9453,200,3425.65,2311.69,8.0,16.0
18,1.0009,200,3372.37,2255.89,8.0,17.0
19,1.0559,200,3315.52,2202.21,8.0,10.0
20,1.1123,200,3259.92,2144.61,8.0,11.0
21,1.1679,200,3202.65,2089.30,8.0,12.0
22,1.2233,200,3142.46,2033.27,8.0,13.0
23,1.2792,200,3092.62,1978.98,8.0,14.0
24,1.3335,200,3036.49,1923.22,8.0,15.0
25,1.3893,200,4091.74,2973.05,8.0,16.0
26,1.4448,200,4034.00,2917.58,8.0,17.0
27,1.5003,200,3974.63,2862.14,8.0,18.0
28,1.5567,200,3922.84,2805.71,8.0,19.0
29,1.6122,200,3866.27,2750.03,8.0,20.0
30,1.6678,200,3813.67,2694.40,8.0,21.0
31,1.7235,200,3755.66,2638.66,8.0,22.0
32,1.7790,200,3699.11,2583.42,8.0,23.0
33,1.8344,200,4752.99,3637.37,8.0,24.0
34,1.8900,200,4695.13,3581.86,8.0,25.0
35,1.9455,200,4635.51,3525.91,8.0,26.0
36,2.0012,200,4585.16,3470.56,8.0,27.0
37,2.0568,200,4527.94,3415.06,8.0,28.0
38,2.1123,200,4473.24,3359.56,8.0,29.0
39,2.1673,200,4418.59,3305.58,8.0,22.0
40,2.2228,200,4361.58,3249.72,8.0,23.0
41,2.2786,200,5407.55,4299.96,8.0,24.0
42,2.3345,200,5352.46,4244.18,8.0,25.0
43,2.3892,200,5300.52,4188.34,8.0,26.0
44,2.4448,200,5242.54,4134.10,8.0,27.0
45,2.5007,200,5188.55,4078.16,8.0,28.0
46,2.5562,200,5131.50,4022.73,8.0,29.0
47,2.6117,200,5071.52,3966.17,8.0,30.0
48,2.6672,200,5019.31,3910.64,8.0,31.0
49,2.7228,200,6073.33,4957.47,8.0,32.0
50,2.7783,200,6018.74,4901.78,8.0,33.0
51,2.8340,200,5957.74,4846.06,8.0,34.0
52,2.8897,200,5909.10,4790.27,8.0,35.0
53,2.9453,200,5850.37,4735.00,8.0,36.0
54,3.0008,200,5798.60,4679.36,8.0,37.0
55,3.0564,200,5740.18,4623.77,8.0,38.0
56,3.1120,200,5683.24,4568.06,8.0,39.0
57,3.1675,200,6732.49,5620.66,8.0,40.0
58,3.2232,200,6673.85,5565.02,8.0,41.0
59,3.2784,200,6618.25,5510.95,8.0,34.0
60,3.3339,200,6567.19,5455.22,8.0,35.0
61,3.3896,200,6508.32,5399.58,8.0,36.0
62,3.4453,200,6451.03,5343.94,8.0,37.0
63,3.5009,200,6399.67,5288.02,8.0,38.0
64,3.5565,200,6341.03,5232.77,8.0,39.0
65,3.6121,200,7385.94,6279.68,8.0,40.0
66,3.6676,200,7335.67,6223.85,8.0,41.0
67,3.7225,200,7275.93,6168.17,8.0,42.0
68,3.7782,200,7223.62,6112.65,8.0,43.0
69,3.8337,200,7169.04,6057.07,8.0,44.0
70,3.8893,200,7113.02,6001.52,8.0,45.0
71,3.9448,200,7059.10,5945.91,8.0,46.0
72,4.0003,200,7004.14,5890.34,8.0,47.0
73,4.0561,200,8050.35,6938.10,8.0,48.0
74,4.1116,200,7998.36,6882.46,8.0,49.0
75,4.1673,200,7940.98,6826.88,8.0,50.0
76,4.2228,200,7880.12,6771.42,8.0,51.0
77,4.2784,200,7830.47,6715.69,8.0,52.0
78,4.3340,200,7772.80,6658.67,8.0,53.0
79,4.3894,200,7718.35,6605.78,8.0,46.0
80,4.4449,200,7662.36,6550.14,8.0,47.0
81,4.5006,200,8708.88,7600.17,8.0,48.0
82,4.5563,200,8652.47,7544.42,8.0,49.0
83,4.6120,200,8595.32,7488.81,8.0,50.0
84,4.6676,200,8538.68,7433.13,8.0,51.0
85,4.7233,200,8485.19,7377.46,8.0,52.0
86,4.7780,200,8429.07,7322.64,8.0,53.0
87,4.8339,200,8375.35,7265.97,8.0,54.0
88,4.8895,200,8319.49,7210.42,8.0,55.0
89,4.9450,200,9374.18,8258.94,8.0,56.0
90,5.0005,200,9314.56,8203.73,8.0,57.0
91,5.0560,200,9261.71,8148.31,8.0,58.0
92,5.1115,200,9206.73,8092.56,8.0,59.0
93,5.1672,200,9151.52,8036.92,8.0,60.0
94,5.2227,200,9098.56,7981.42,8.0,61.0
95,5.2782,200,9043.66,7925.95,8.0,62.0
96,5.3337,200,8988.82,7869.96,8.0,63.0
97,5.3897,200,10037.81,8922.57,8.0,64.0
98,5.4452,200,9977.80,8866.89,8.0,65.0
99,5.5007,200,9924.45,8812.38,8.0,58.0
100,5.5562,200,9867.75,8756.77,8.0,59.0
101,5.6120,200,9807.92,8701.10,8.0,60.0
102,5.6676,200,9756.92,8645.48,8.0,61.0
103,5.7233,200,9700.22,8589.94,8.0,62.0
104,5.7788,200,9647.98,8534.28,8.0,63.0
105,5.8345,200,10694.75,9583.53,8.0,64.0
106,5.8901,200,10635.44,9527.57,8.0,65.0
107,5.9450,200,10583.14,9471.83,8.0,66.0
108,6.0007,200,10527.98,9416.31,8.0,67.0
109,6.0562,200,10477.03,9360.72,8.0,68.0
110,6.1118,200,10417.97,9300.07,8.0,69.0
111,6.1674,200,10364.46,9249.67,8.0,70.0
112,6.2229,200,10309.61,9193.88,8.0,71.0
113,6.2787,200,11355.69,10243.91,8.0,72.0
114,6.3342,200,11302.33,10188.66,8.0,73.0
115,6.3897,200,11248.25,10133.14,8.0,74.0
116,6.4452,200,11192.03,10077.61,8.0,75.0
117,6.5007,200,11129.33,10021.91,8.0,76.0
118,6.5564,200,11077.41,9966.20,8.0,77.0
119,6.6116,200,11021.57,9912.02,8.0,70.0
120,6.6673,200,10965.38,9856.25,8.0,71.0
121,6.7231,200,12021.67,10904.99,8.0,72.0
122,6.7788,200,11961.65,10849.22,8.0,73.0
123,6.8336,200,11903.08,10794.55,8.0,74.0
124,6.8893,200,11853.93,10738.76,8.0,75.0
125,6.9450,200,11794.91,10682.78,8.0,76.0
126,7.0007,200,11740.43,10627.34,8.0,77.0
127,7.0566,200,11682.78,10570.55,8.0,78.0
128,7.1124,200,11631.59,10515.03,8.0,79.0
129,7.1680,200,12675.19,11566.20,8.0,80.0
130,7.2236,200,12620.12,11510.70,8.0,81.0
131,7.2788,200,12567.52,11455.54,8.0,82.0
132,7.3341,200,12512.98,11399.95,8.0,83.0
133,7.3897,200,12458.10,11344.00,8.0,84.0
134,7.4455,200,12403.06,11288.50,8.0,85.0
135,7.5010,200,12339.28,11232.71,8.0,86.0
136,7.5566,200,12286.02,11177.46,8.0,87.0
137,7.6120,200,13338.62,12225.73,8.0,88.0
138,7.6676,200,13284.90,12169.93,8.0,89.0
139,7.7230,200,13223.36,12115.65,8.0,82.0
140,7.7787,200,13172.87,12059.90,8.0,83.0
141,7.8345,200,13122.05,12003.85,8.0,84.0
142,7.8895,200,13063.94,11948.92,8.0,85.0
143,7.9454,200,13010.03,11893.02,8.0,86.0
144,8.0003,200,12954.08,11838.09,8.0,87.0
145,8.0562,200,14003.62,12886.81,8.0,88.0
146,8.1120,200,13952.38,12831.13,8.0,89.0
147,8.1672,200,13900.45,12775.30,8.0,90.0
148,8.2231,200,13842.91,12719.34,8.0,91.0
149,8.2790,200,13782.28,12663.40,8.0,92.0
150,8.3350,200,13734.39,12607.32,8.0,93.0
151,8.3911,200,13663.37,12551.44,8.0,94.0
152,8.4451,200,13617.79,12497.06,8.0,95.0
153,8.5013,200,14656.73,13548.55,8.0,96.0
154,8.5573,200,14607.01,13492.42,8.0,97.0
155,8.6133,200,14552.74,13436.42,8.0,98.0
156,8.6673,200,14502.35,13382.44,8.0,99.0
157,8.7234,200,14448.15,13324.09,8.0,100.0
158,8.7786,200,14394.75,13271.10,8.0,101.0
159,8.8336,200,14326.03,13217.45,8.0,94.0
160,8.8894,200,14278.41,13161.55,8.0,95.0
161,8.9453,200,15318.16,14208.49,8.0,96.0
162,9.0012,200,15278.27,14152.68,8.0,97.0
163,9.0560,200,15216.10,14097.90,8.0,98.0
164,9.1118,200,15170.16,14042.14,8.0,99.0
165,9.1676,200,15109.37,13985.91,8.0,100.0
166,9.2233,200,15046.48,13930.34,8.0,101.0
167,9.2784,200,14996.15,13874.58,8.0,102.0
168,9.3341,200,14950.52,13818.93,8.0,103.0
169,9.3898,200,15986.79,14868.59,8.0,104.0
170,9.4454,200,15933.37,14812.88,8.0,105.0
171,9.5010,200,15880.04,14757.35,8.0,106.0
172,9.5566,200,15826.80,14701.60,8.0,107.0
173,9.6124,200,15773.69,14645.90,8.0,108.0
174,9.6681,200,15704.09,14590.12,8.0,109.0
175,9.7239,200,15661.79,14532.26,8.0,110.0
176,9.7796,200,15594.77,14478.63,8.0,111.0
177,9.8353,200,16654.96,15526.06,8.0,112.0
178,9.8911,200,16604.80,15461.92,8.0,105.0
179,9.9451,200,16537.87,15417.13,8.0,106.0
180,10.0010,200,16494.38,15361.06,8.0,107.0
181,10.0559,200,16431.92,15306.25,8.0,108.0
