concurrency,worker,index,status,latency_ms,wait_ms,inference_ms,batch_size,ttft_client_ms,ttft_server_ms
1,0,0,200,824.029,0.033,821.115,1.00,nan,19.683
1,0,1,200,825.205,0.034,823.054,1.00,nan,19.675
1,0,2,200,828.379,0.034,825.791,1.00,nan,19.689
1,0,3,200,825.090,0.036,821.924,1.00,nan,19.640
1,0,4,200,829.135,0.039,825.674,1.00,nan,19.908
1,0,5,200,825.163,0.038,821.697,1.00,nan,19.654
1,0,6,200,825.212,0.038,822.049,1.00,nan,19.589
1,0,7,200,825.060,0.034,822.028,1.00,nan,19.814
1,0,8,200,827.334,0.033,822.555,1.00,nan,19.715
1,0,9,200,825.150,0.038,821.911,1.00,nan,19.650
1,0,10,200,824.277,0.032,821.026,1.00,nan,19.646
1,0,11,200,825.356,0.038,821.882,1.00,nan,19.717
1,0,12,200,837.531,0.038,834.899,1.00,nan,19.710
1,0,13,200,826.667,0.019,823.847,1.00,nan,19.645
1,0,14,200,827.400,0.038,824.128,1.00,nan,19.661
1,0,15,200,825.279,0.033,822.032,1.00,nan,19.759
1,0,16,200,825.566,0.057,822.068,1.00,nan,19.790
1,0,17,200,825.795,0.056,822.317,1.00,nan,19.686
1,0,18,200,826.489,0.037,823.010,1.00,nan,19.646
1,0,19,200,826.645,0.041,823.211,1.00,nan,19.769
1,0,20,200,825.922,0.045,822.670,1.00,nan,19.794
1,0,21,200,826.285,0.033,823.890,1.00,nan,19.780
1,0,22,200,825.090,0.030,823.056,1.00,nan,19.751
1,0,23,200,824.218,0.031,822.276,1.00,nan,19.627
1,0,24,200,825.444,0.029,822.860,1.00,nan,19.585
1,0,25,200,826.511,0.032,823.332,1.00,nan,19.830
1,0,26,200,827.759,0.037,825.353,1.00,nan,19.767
1,0,27,200,825.686,0.016,822.898,1.00,nan,19.630
1,0,28,200,830.315,0.053,826.835,1.00,nan,19.815
1,0,29,200,826.233,0.038,823.339,1.00,nan,19.723
1,0,30,200,833.750,0.025,830.843,1.00,nan,19.832
1,0,31,200,826.289,0.036,823.237,1.00,nan,19.709
1,0,32,200,835.564,0.021,831.332,1.00,nan,20.007
1,0,33,200,850.524,0.033,846.687,1.00,nan,19.894
1,0,34,200,827.764,0.042,824.709,1.00,nan,20.172
1,0,35,200,827.118,0.034,824.140,1.00,nan,19.692
1,0,36,200,829.272,0.036,826.706,1.00,nan,19.837
1,0,37,200,828.965,0.035,826.883,1.00,nan,19.826
1,0,38,200,832.142,0.036,829.207,1.00,nan,19.865
1,0,39,200,828.333,0.036,825.673,1.00,nan,19.783
2,0,0,200,879.982,0.203,875.726,1.00,nan,19.895
2,1,0,200,1758.835,875.924,879.315,1.00,nan,896.878
2,0,1,200,1732.818,877.403,853.313,1.00,nan,900.203
2,1,1,200,1705.032,851.495,851.471,1.00,nan,872.041
2,0,2,200,1697.998,849.541,846.036,1.00,nan,870.043
2,1,2,200,1684.202,844.281,837.916,1.00,nan,865.431
2,0,3,200,1721.343,835.278,883.565,1.00,nan,857.049
2,1,3,200,1741.239,881.852,857.497,1.00,nan,902.161
2,0,4,200,1740.650,855.915,882.719,1.00,nan,881.671
2,1,4,200,1746.741,880.932,863.633,1.00,nan,901.851
2,0,5,200,1734.553,861.772,870.818,1.00,nan,883.019
2,1,5,200,1709.849,869.017,838.727,1.00,nan,889.178
2,0,6,200,1680.539,837.236,841.352,1.00,nan,857.974
2,1,6,200,1683.231,836.282,841.600,1.00,nan,856.826
2,0,7,200,1674.047,839.729,831.454,1.00,nan,860.493
2,1,7,200,1660.360,829.261,828.031,1.00,nan,849.366
2,0,8,200,1653.397,825.046,824.965,1.00,nan,845.289
2,1,8,200,1650.128,821.975,824.735,1.00,nan,841.831
2,0,9,200,1650.104,821.770,825.272,1.00,nan,841.801
2,1,9,200,1651.012,822.405,825.504,1.00,nan,842.502
2,0,10,200,1654.741,822.881,828.680,1.00,nan,843.137
2,1,10,200,1661.563,825.950,832.496,1.00,nan,846.163
2,0,11,200,1660.462,829.454,827.506,1.00,nan,849.748
2,1,11,200,1656.001,824.661,828.722,1.00,nan,845.328
2,0,12,200,1657.468,825.437,828.649,1.00,nan,845.716
2,1,12,200,1665.862,826.935,836.986,1.00,nan,847.123
2,0,13,200,1663.325,834.125,826.622,1.00,nan,854.467
2,1,13,200,1654.062,824.993,826.515,1.00,nan,845.590
2,0,14,200,1651.102,824.728,823.766,1.00,nan,844.834
2,1,14,200,1671.041,821.156,846.668,1.00,nan,841.413
2,0,15,200,1674.802,844.129,827.651,1.00,nan,864.691
2,1,15,200,1659.481,824.722,831.587,1.00,nan,844.821
2,0,16,200,1656.485,828.829,824.987,1.00,nan,849.061
2,1,16,200,1650.129,822.120,825.671,1.00,nan,842.347
2,0,17,200,1652.807,823.384,826.501,1.00,nan,843.599
2,1,17,200,1656.061,824.979,828.597,1.00,nan,847.947
2,0,18,200,1656.689,825.887,827.679,1.00,nan,845.915
2,1,18,200,1658.087,825.145,830.459,1.00,nan,845.395
2,0,19,200,1656.696,827.636,825.923,1.00,nan,848.218
2,1,19,200,1653.268,824.129,826.606,1.00,nan,844.218
4,1,0,200,827.207,0.154,819.980,1.00,nan,20.048
4,0,0,200,1661.386,820.200,833.664,1.00,nan,840.374
4,2,0,200,2487.882,1653.827,826.929,1.00,nan,1674.258
4,3,0,200,3317.304,2480.879,830.343,1.00,nan,2501.339
4,1,1,200,3320.091,2488.860,828.158,1.00,nan,2509.287
4,0,1,200,3328.057,2484.052,840.601,1.00,nan,2504.936
4,2,1,200,3327.887,2496.536,828.727,1.00,nan,2517.707
4,3,1,200,3326.096,2496.190,827.847,1.00,nan,2517.000
4,1,2,200,3327.670,2494.579,829.897,1.00,nan,2514.945
4,0,2,200,3316.425,2483.995,830.082,1.00,nan,2504.184
4,2,2,200,3326.740,2486.474,837.673,1.00,nan,2506.696
4,3,2,200,3323.788,2496.204,824.906,1.00,nan,2516.178
4,1,3,200,3319.645,2490.246,826.285,1.00,nan,2510.564
4,0,3,200,3322.087,2486.664,832.951,1.00,nan,2507.284
4,2,3,200,3313.482,2481.897,828.564,1.00,nan,2502.440
4,3,3,200,3315.728,2485.492,827.148,1.00,nan,2505.741
4,1,4,200,3321.558,2486.316,832.015,1.00,nan,2506.558
4,0,4,200,3313.811,2486.264,824.712,1.00,nan,2506.177
4,2,4,200,3312.121,2481.480,827.460,1.00,nan,2501.491
4,3,4,200,3310.732,2481.727,825.797,1.00,nan,2501.999
4,1,5,200,3306.150,2475.504,827.517,1.00,nan,2495.786
4,0,5,200,3307.689,2478.392,826.241,1.00,nan,2498.428
4,2,5,200,3305.368,2477.124,825.006,1.00,nan,2497.290
4,3,5,200,3309.194,2476.322,829.646,1.00,nan,2496.643
4,1,6,200,3306.381,2478.087,824.431,1.00,nan,2498.315
4,0,6,200,3306.785,2476.799,826.969,1.00,nan,2496.904
4,2,6,200,3307.076,2478.589,825.256,1.00,nan,2498.784
4,3,6,200,3303.901,2474.304,826.526,1.00,nan,2494.499
4,1,7,200,3305.544,2475.889,826.954,1.00,nan,2495.963
4,0,7,200,3306.220,2476.355,826.869,1.00,nan,2497.422
4,2,7,200,3308.645,2477.920,828.452,1.00,nan,2497.955
4,3,7,200,3309.218,2479.770,826.229,1.00,nan,2499.877
4,1,8,200,3309.861,2480.063,827.364,1.00,nan,2499.985
