concurrency,worker,index,status,latency_ms,wait_ms,inference_ms,batch_size,ttft_client_ms,ttft_server_ms
1,0,0,200,841.241,13.107,824.006,1.00,36.029,32.936
1,0,1,200,843.931,10.011,831.188,1.00,31.668,29.721
1,0,2,200,837.870,10.009,825.484,1.00,31.418,29.633
1,0,3,200,840.641,10.007,828.224,1.00,31.091,29.675
1,0,4,200,838.361,10.051,826.251,1.00,31.853,30.244
1,0,5,200,837.222,10.017,825.544,1.00,30.963,30.002
1,0,6,200,839.120,10.011,826.786,1.00,31.233,29.777
1,0,7,200,846.717,10.013,834.441,1.00,31.477,29.727
1,0,8,200,845.979,10.007,834.222,1.00,31.901,30.374
1,0,9,200,838.836,10.005,826.783,1.00,30.620,29.563
1,0,10,200,837.900,10.010,825.763,1.00,31.293,29.533
1,0,11,200,840.050,10.005,828.010,1.00,30.652,29.544
1,0,12,200,839.495,10.011,826.888,1.00,31.275,29.654
1,0,13,200,844.242,10.016,831.621,1.00,31.427,29.640
1,0,14,200,839.320,10.013,826.870,1.00,31.352,29.566
1,0,15,200,840.102,10.013,827.976,1.00,31.134,29.546
1,0,16,200,839.556,10.007,827.515,1.00,30.686,29.561
1,0,17,200,839.417,10.017,826.870,1.00,31.379,29.597
1,0,18,200,841.948,10.013,829.401,1.00,33.561,31.826
1,0,19,200,839.173,10.013,826.674,1.00,31.315,29.591
1,0,20,200,839.389,10.017,826.893,1.00,31.201,29.600
1,0,21,200,839.920,10.011,827.219,1.00,31.260,29.563
1,0,22,200,841.379,10.086,828.476,1.00,31.557,29.680
1,0,23,200,840.433,10.027,827.804,1.00,31.487,29.653
1,0,24,200,838.962,10.011,826.568,1.00,31.343,29.642
1,0,25,200,841.366,10.008,828.936,1.00,31.119,29.630
1,0,26,200,839.572,10.042,827.283,1.00,31.476,29.788
1,0,27,200,842.426,10.011,830.132,1.00,31.118,29.710
1,0,28,200,840.627,10.010,828.523,1.00,31.304,29.683
1,0,29,200,842.465,10.014,830.211,1.00,30.993,29.902
1,0,30,200,844.027,10.013,831.115,1.00,31.751,29.727
1,0,31,200,841.539,10.013,828.936,1.00,31.571,29.711
1,0,32,200,839.841,10.012,827.240,1.00,31.409,29.697
1,0,33,200,837.582,10.016,825.071,1.00,31.298,29.663
1,0,34,200,839.976,10.011,827.586,1.00,31.260,29.678
1,0,35,200,840.109,10.013,827.599,1.00,31.241,29.543
1,0,36,200,839.094,10.009,826.420,1.00,31.548,29.611
1,0,37,200,846.212,10.016,833.686,1.00,31.264,29.678
1,0,38,200,843.517,10.009,830.849,1.00,31.327,29.710
1,0,39,200,846.304,10.014,833.765,1.00,31.486,29.734
4,2,0,200,911.659,9.304,895.135,4.00,38.814,32.389
4,1,0,200,912.917,9.474,895.135,4.00,39.662,32.560
4,3,0,200,912.382,9.657,895.135,4.00,38.575,32.743
4,0,0,200,914.677,10.015,895.135,4.00,40.645,33.101
4,2,1,200,911.301,10.029,897.174,4.00,34.884,31.981
4,1,1,200,912.534,9.510,897.174,4.00,34.474,31.462
4,3,1,200,912.645,9.110,897.174,4.00,33.923,31.061
4,0,1,200,913.061,9.294,897.174,4.00,33.695,31.245
4,2,2,200,911.035,10.383,893.785,4.00,37.245,32.196
4,1,2,200,911.155,9.761,893.785,4.00,35.642,31.574
4,3,2,200,911.211,8.788,893.785,4.00,35.002,30.601
4,0,2,200,911.268,9.474,893.785,4.00,34.385,31.287
4,2,3,200,912.566,10.506,895.378,4.00,38.179,32.334
4,1,3,200,912.426,9.882,895.378,4.00,36.584,31.710
4,3,3,200,912.483,8.861,895.378,4.00,36.032,30.688
4,0,3,200,912.461,9.532,895.378,4.00,35.463,31.360
4,2,4,200,910.960,10.329,893.918,4.00,37.612,32.159
4,1,4,200,911.024,9.725,893.918,4.00,36.067,31.554
4,3,4,200,910.935,8.763,893.918,4.00,35.324,30.593
4,0,4,200,910.931,9.470,893.918,4.00,34.673,31.299
4,2,5,200,912.450,10.461,895.509,4.00,38.014,32.508
4,1,5,200,912.441,9.760,895.509,4.00,36.275,31.807
4,3,5,200,912.434,8.821,895.509,4.00,35.631,30.868
4,0,5,200,912.413,9.411,895.509,4.00,34.996,31.458
4,2,6,200,915.158,10.350,898.093,4.00,37.457,32.193
4,1,6,200,915.351,9.731,898.093,4.00,35.831,31.574
4,3,6,200,915.438,8.748,898.093,4.00,35.182,30.591
4,0,6,200,915.518,9.476,898.093,4.00,34.557,31.319
4,2,7,200,910.019,10.028,893.850,4.00,37.656,31.994
4,1,7,200,908.746,9.331,893.850,4.00,35.888,31.297
4,3,7,200,908.209,8.097,893.850,4.00,35.167,30.062
4,0,7,200,907.688,9.032,893.850,4.00,34.463,30.998
4,2,8,200,909.155,10.455,895.000,4.00,34.389,32.132
4,1,8,200,910.167,10.204,895.000,4.00,33.708,31.881
4,3,8,200,910.602,9.644,895.000,4.00,33.453,31.321
4,0,8,200,911.053,10.056,895.000,4.00,33.208,31.732
4,2,9,200,908.756,10.413,892.015,4.00,37.253,32.165
4,1,9,200,908.131,9.773,892.015,4.00,35.731,31.526
4,3,9,200,907.615,8.744,892.015,4.00,35.131,30.496
4,0,9,200,907.106,9.513,892.015,4.00,34.505,31.266
8,1,0,200,909.796,0.491,899.603,8.00,48.152,36.730
8,0,0,200,911.985,1.462,899.603,8.00,49.049,37.701
8,5,0,200,909.318,0.188,899.603,8.00,46.105,36.427
8,6,0,200,909.239,0.128,899.603,8.00,45.763,36.367
8,3,0,200,910.976,0.324,899.603,8.00,47.235,36.563
8,4,0,200,910.842,0.257,899.603,8.00,46.791,36.496
8,2,0,200,912.271,0.401,899.603,8.00,47.923,36.640
8,7,0,200,910.360,0.059,899.603,8.00,45.719,36.298
8,1,1,200,901.524,6.091,889.650,8.00,38.132,33.722
8,0,1,200,901.176,5.734,889.650,8.00,36.956,33.364
8,7,1,200,899.581,1.882,889.650,8.00,34.998,29.513
8,2,1,200,901.654,1.501,889.650,8.00,35.393,29.132
8,4,1,200,902.471,3.449,889.650,8.00,35.783,31.080
8,6,1,200,903.591,2.708,889.650,8.00,36.509,30.338
8,5,1,200,904.348,4.456,889.650,8.00,36.916,32.087
8,3,1,200,904.167,1.121,889.650,8.00,36.333,28.752
8,1,2,200,905.590,6.934,890.642,8.00,40.803,34.544
8,0,2,200,906.914,6.421,890.642,8.00,39.993,34.031
8,3,2,200,903.777,1.454,890.642,8.00,36.110,29.063
8,5,2,200,904.981,0.550,890.642,8.00,36.619,28.160
