tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
paid,0.0001,200,1106.67,10.01,0,0.0
free,0.0005,200,1107.19,9.92,0,1.0
paid,0.0781,200,2142.80,1025.58,0,0.0
paid,0.1542,200,2069.17,949.12,0,1.0
free,0.2008,200,2026.06,903.77,0,2.0
paid,0.2312,200,1994.89,872.50,0,3.0
paid,0.3084,200,1915.33,796.05,0,4.0
paid,0.3848,200,1842.42,718.66,0,5.0
free,0.4013,200,2953.70,1816.64,0,6.0
paid,0.4637,200,1759.35,639.50,0,7.0
paid,0.5393,200,1687.23,564.14,0,8.0
free,0.6018,503,3.86,nan,0,9.0
paid,0.6159,503,2.43,nan,0,9.0
paid,0.6925,503,2.78,nan,0,9.0
paid,0.7696,503,2.95,nan,0,9.0
free,0.8007,503,2.37,nan,0,9.0
paid,0.8472,503,2.64,nan,0,9.0
paid,0.9241,503,2.81,nan,0,9.0
free,1.0011,503,4.39,nan,0,9.0
paid,1.0019,503,5.12,nan,0,9.0
paid,1.0773,503,3.03,nan,0,9.0
paid,1.1549,200,2197.85,1063.97,0,1.0
free,1.2004,200,2154.98,1018.66,0,2.0
paid,1.2317,200,2121.75,987.33,0,3.0
paid,1.3081,200,2040.96,910.64,0,4.0
paid,1.3856,200,1966.79,831.84,0,5.0
free,1.4005,200,3065.59,1945.50,0,6.0
paid,1.4628,200,1890.27,755.08,0,7.0
paid,1.5393,200,1812.77,678.81,0,8.0
free,1.6015,503,12.25,nan,0,9.0
paid,1.6159,503,2.46,nan,0,9.0
paid,1.6926,503,2.31,nan,0,9.0
paid,1.7701,503,2.39,nan,0,9.0
free,1.8006,503,1.83,nan,0,9.0
paid,1.8466,503,2.09,nan,0,9.0
paid,1.9239,503,2.08,nan,0,9.0
free,2.0012,503,4.90,nan,0,9.0
paid,2.0024,503,5.23,nan,0,9.0
paid,2.0779,503,2.79,nan,0,9.0
paid,2.1549,503,2.84,nan,0,9.0
free,2.2009,503,2.73,nan,0,9.0
paid,2.2314,200,2229.70,1115.53,0,1.0
paid,2.3089,200,2156.51,1037.53,0,2.0
paid,2.3857,200,2081.02,961.38,0,3.0
free,2.4007,200,2066.81,946.48,0,4.0
paid,2.4618,200,2003.94,885.48,0,5.0
paid,2.5389,200,1928.25,808.09,0,6.0
free,2.6002,200,3003.80,1858.51,0,7.0
paid,2.6162,200,1850.18,730.87,0,8.0
paid,2.6934,503,2.23,nan,0,9.0
paid,2.7698,503,3.00,nan,0,9.0
free,2.8010,503,2.10,nan,0,9.0
paid,2.8473,503,2.20,nan,0,9.0
paid,2.9237,503,2.38,nan,0,9.0
free,3.0003,503,4.76,nan,0,9.0
paid,3.0009,503,3.22,nan,0,9.0
paid,3.0783,503,3.12,nan,0,9.0
paid,3.1546,503,2.91,nan,0,9.0
free,3.2008,503,2.93,nan,0,9.0
paid,3.2319,503,2.67,nan,0,9.0
paid,3.3088,503,2.83,nan,0,9.0
paid,3.3856,200,2218.76,1072.69,0,1.0
free,3.4012,200,2203.89,1057.38,0,2.0
paid,3.4627,200,2142.23,995.66,0,3.0
paid,3.5394,200,2065.31,918.88,0,4.0
free,3.6010,200,3141.77,1998.66,0,5.0
paid,3.6166,200,1987.58,842.15,0,6.0
paid,3.6929,200,1911.56,764.81,0,7.0
paid,3.7701,200,1833.71,688.05,0,8.0
free,3.8008,503,2.64,nan,0,9.0
paid,3.8467,503,2.77,nan,0,9.0
paid,3.9237,503,3.06,nan,0,9.0
free,4.0009,503,1.98,nan,0,9.0
paid,4.0015,503,1.86,nan,0,9.0
paid,4.0775,503,2.75,nan,0,9.0
paid,4.1545,503,1.92,nan,0,9.0
free,4.2006,503,2.83,nan,0,9.0
paid,4.2316,503,1.40,nan,0,9.0
paid,4.3082,503,3.22,nan,0,9.0
paid,4.3857,503,2.25,nan,0,9.0
free,4.4021,503,2.31,nan,0,9.0
paid,4.4676,200,2274.38,1132.61,0,1.0
paid,4.5391,200,2203.91,1060.86,0,2.0
free,4.6007,200,2146.18,999.16,0,3.0
paid,4.6165,200,2129.94,983.52,0,4.0
paid,4.6932,200,2052.80,907.23,0,5.0
paid,4.7704,200,1977.01,829.42,0,6.0
free,4.8011,200,3089.61,1939.36,0,7.0
paid,4.8466,200,1901.19,753.58,0,8.0
paid,4.9239,503,2.49,nan,0,9.0
paid,5.0007,503,3.57,nan,0,9.0
free,5.0015,503,3.55,nan,0,9.0
paid,5.0783,503,2.25,nan,0,9.0
paid,5.1547,503,2.78,nan,0,9.0
free,5.2007,503,1.53,nan,0,9.0
paid,5.2314,503,1.52,nan,0,9.0
paid,5.3081,503,2.50,nan,0,9.0
paid,5.3858,503,3.06,nan,0,9.0
free,5.4010,503,1.49,nan,0,9.0
paid,5.4627,503,1.92,nan,0,9.0
paid,5.5388,503,1.81,nan,0,9.0
free,5.6007,200,2289.78,1136.72,0,1.0
paid,5.6163,200,2273.70,1124.93,0,2.0
paid,5.6932,200,2197.74,1047.78,0,3.0
paid,5.7702,200,2120.12,970.73,0,4.0
free,5.8002,200,2087.27,940.95,0,5.0
paid,5.8471,200,2043.09,893.34,0,6.0
paid,5.9237,200,1966.14,816.67,0,7.0
free,6.0004,200,3004.53,1883.09,0,8.0
paid,6.0019,503,3.40,nan,0,9.0
paid,6.0786,503,2.79,nan,0,9.0
paid,6.1546,503,2.14,nan,0,9.0
free,6.2009,503,2.29,nan,0,9.0
paid,6.2313,503,2.45,nan,0,9.0
paid,6.3080,503,2.08,nan,0,9.0
paid,6.3853,503,2.35,nan,0,9.0
free,6.4018,503,1.91,nan,0,9.0
