tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
paid,0.0001,200,1103.54,10.02,0,0.0
free,0.0006,200,1102.02,9.84,0,1.0
paid,0.0773,200,2155.35,1022.72,0,0.0
paid,0.1548,200,2077.19,944.21,0,1.0
free,0.2003,200,3143.07,2024.48,1,2.0
paid,0.2315,200,2000.82,868.09,0,3.0
paid,0.3086,200,1919.51,790.47,0,4.0
paid,0.3852,200,1846.20,713.90,0,5.0
free,0.4017,503,3.67,nan,0,6.0
paid,0.4626,200,1770.43,637.51,0,6.0
paid,0.5391,200,1692.54,559.76,0,7.0
free,0.6017,503,3.48,nan,0,8.0
paid,0.6163,200,1611.46,484.30,0,8.0
paid,0.6926,503,3.55,nan,0,9.0
paid,0.7704,503,2.55,nan,0,9.0
free,0.8011,503,2.45,nan,0,9.0
paid,0.8468,503,2.30,nan,0,9.0
paid,0.9233,503,4.95,nan,0,9.0
free,1.0015,503,3.21,nan,0,9.0
paid,1.0021,503,3.89,nan,0,9.0
paid,1.0783,503,2.86,nan,0,9.0
paid,1.1549,200,2191.71,1069.90,0,1.0
free,1.2003,200,3254.05,2137.96,1,2.0
paid,1.2317,200,2112.30,993.27,0,3.0
paid,1.3080,200,2035.65,916.56,0,4.0
paid,1.3857,200,1960.52,837.42,0,5.0
free,1.4006,503,3.09,nan,0,6.0
paid,1.4619,200,1881.15,762.84,0,6.0
paid,1.5394,200,1800.93,684.23,0,7.0
free,1.6020,503,3.44,nan,0,8.0
paid,1.6156,200,1730.23,609.49,0,8.0
paid,1.6926,503,8.53,nan,0,9.0
paid,1.7703,503,1.55,nan,0,9.0
free,1.8010,503,1.38,nan,0,9.0
paid,1.8466,503,2.65,nan,0,9.0
paid,1.9235,503,2.82,nan,0,9.0
free,2.0006,503,4.89,nan,0,9.0
paid,2.0015,503,6.08,nan,0,9.0
paid,2.0778,503,2.90,nan,0,9.0
paid,2.1550,503,2.88,nan,0,9.0
free,2.2011,503,2.81,nan,0,9.0
paid,2.2331,200,2226.60,1105.25,0,1.0
paid,2.3085,200,2150.58,1029.33,0,2.0
paid,2.3852,200,2074.23,953.22,0,3.0
free,2.4011,503,1.59,nan,0,4.0
paid,2.4629,200,1995.26,875.10,0,4.0
paid,2.5394,200,1919.08,798.33,0,5.0
free,2.6011,503,3.11,nan,0,6.0
paid,2.6163,200,1843.59,721.85,0,6.0
paid,2.6928,200,1766.00,644.64,0,7.0
paid,2.7699,200,2816.05,1681.92,0,8.0
free,2.8004,503,2.65,nan,0,9.0
paid,2.8472,503,2.93,nan,0,9.0
paid,2.9234,503,1.62,nan,0,9.0
paid,3.0003,503,4.24,nan,0,9.0
free,3.0012,503,4.26,nan,0,9.0
paid,3.0786,503,2.94,nan,0,9.0
paid,3.1548,503,3.12,nan,0,9.0
free,3.2011,503,2.90,nan,0,9.0
paid,3.2312,503,2.79,nan,0,9.0
paid,3.3083,503,3.08,nan,0,9.0
paid,3.3857,200,2201.86,1066.78,0,1.0
free,3.4006,200,3302.57,2183.53,1,2.0
paid,3.4624,200,2124.78,989.57,0,3.0
paid,3.5388,200,2047.40,912.86,0,4.0
free,3.6005,503,3.49,nan,0,5.0
paid,3.6162,200,1971.26,835.82,0,5.0
paid,3.6926,200,1893.42,759.05,0,6.0
paid,3.7704,200,1814.54,680.68,0,7.0
free,3.8007,503,3.24,nan,0,8.0
paid,3.8471,200,1740.15,604.67,0,8.0
paid,3.9237,503,2.61,nan,0,9.0
free,4.0006,503,3.96,nan,0,9.0
paid,4.0015,503,4.02,nan,0,9.0
paid,4.0787,503,3.10,nan,0,9.0
paid,4.1550,503,2.55,nan,0,9.0
free,4.2008,503,3.09,nan,0,9.0
paid,4.2311,503,2.46,nan,0,9.0
paid,4.3088,503,2.53,nan,0,9.0
paid,4.3855,503,2.65,nan,0,9.0
free,4.4004,503,2.49,nan,0,9.0
paid,4.4620,200,2237.22,1122.09,0,1.0
paid,4.5388,200,2163.99,1044.35,0,2.0
free,4.6005,200,3219.09,2097.07,1,3.0
paid,4.6160,200,2086.50,967.59,0,4.0
paid,4.6934,200,2008.09,889.80,0,5.0
paid,4.7700,200,1931.80,813.58,0,6.0
free,4.8001,503,1.96,nan,0,7.0
paid,4.8472,200,1851.52,736.48,0,7.0
paid,4.9242,200,1777.96,658.66,0,8.0
free,5.0012,503,4.75,nan,0,9.0
paid,5.0022,503,4.74,nan,0,9.0
paid,5.0772,503,2.02,nan,0,9.0
paid,5.1544,503,3.24,nan,0,9.0
free,5.2009,503,2.04,nan,0,9.0
paid,5.2311,503,1.69,nan,0,9.0
paid,5.3080,503,3.16,nan,0,9.0
paid,5.3855,503,2.94,nan,0,9.0
free,5.4006,503,2.40,nan,0,9.0
paid,5.4632,503,2.88,nan,0,9.0
paid,5.5393,503,2.12,nan,0,9.0
free,5.6017,200,3342.92,2214.37,1,1.0
paid,5.6165,200,2201.24,1081.39,0,2.0
paid,5.6926,200,2127.16,1004.55,0,3.0
paid,5.7704,200,2049.06,927.24,0,4.0
free,5.8005,503,2.93,nan,0,5.0
paid,5.8467,200,1973.52,850.78,0,5.0
paid,5.9242,200,1893.74,773.11,0,6.0
free,6.0009,503,4.60,nan,0,7.0
paid,6.0018,200,1818.14,694.20,0,7.0
paid,6.0787,200,1738.14,619.01,0,8.0
paid,6.1549,503,3.03,nan,0,9.0
free,6.2011,503,2.81,nan,0,9.0
paid,6.2311,503,3.13,nan,0,9.0
paid,6.3085,503,2.97,nan,0,9.0
paid,6.3857,503,3.05,nan,0,9.0
free,6.4009,503,2.43,nan,0,9.0
paid,6.4635,503,2.80,nan,0,9.0
paid,6.5396,503,2.88,nan,0,9.0
free,6.6007,503,2.01,nan,0,9.0
paid,6.6168,503,1.53,nan,0,9.0
paid,6.6925,503,1.79,nan,0,9.0
paid,6.7714,200,2169.08,1043.89,0,1.0
free,6.8010,200,3294.13,2134.61,1,2.0
paid,6.8467,200,2097.52,968.84,0,3.0
paid,6.9243,200,2019.46,891.08,0,4.0
free,7.0010,503,4.19,nan,0,5.0
paid,7.0020,200,1939.17,812.57,0,5.0
paid,7.0785,200,1862.35,736.72,0,6.0
paid,7.1541,200,1783.72,661.71,0,7.0
free,7.2001,503,2.14,nan,0,8.0
paid,7.2314,200,1710.14,584.74,0,8.0
paid,7.3082,503,2.53,nan,0,9.0
paid,7.3850,503,3.05,nan,0,9.0
free,7.4002,503,2.40,nan,0,9.0
paid,7.4629,503,3.08,nan,0,9.0
paid,7.5392,503,2.91,nan,0,9.0
free,7.6003,503,1.83,nan,0,9.0
paid,7.6162,503,1.48,nan,0,9.0
paid,7.6935,503,2.84,nan,0,9.0
paid,7.7695,503,1.91,nan,0,9.0
free,7.8006,503,1.78,nan,0,9.0
paid,7.8473,200,2246.95,1088.76,0,1.0
paid,7.9233,200,2167.90,1012.64,0,2.0
free,8.0004,200,3273.50,2086.30,1,3.0
paid,8.0011,200,2090.68,934.80,0,4.0
paid,8.0775,200,2018.11,858.43,0,5.0
paid,8.1546,200,1936.86,781.20,0,6.0
free,8.2007,503,2.66,nan,0,7.0
paid,8.2316,200,1857.47,704.29,0,7.0
paid,8.3081,200,1786.56,626.67,0,8.0
paid,8.3855,503,3.19,nan,0,9.0
free,8.4009,503,2.86,nan,0,9.0
paid,8.4620,503,2.85,nan,0,9.0
paid,8.5391,503,2.89,nan,0,9.0
free,8.6002,503,2.81,nan,0,9.0
paid,8.6171,503,1.57,nan,0,9.0
paid,8.6930,503,3.07,nan,0,9.0
paid,8.7703,503,3.00,nan,0,9.0
free,8.8005,503,2.65,nan,0,9.0
paid,8.8473,503,3.19,nan,0,9.0
paid,8.9238,503,3.11,nan,0,9.0
free,9.0008,200,3476.57,2264.79,1,1.0
paid,9.0014,200,2269.84,1085.62,0,2.0
paid,9.0777,200,2196.61,1008.97,0,3.0
paid,9.1546,200,2117.88,932.24,0,4.0
free,9.2003,503,2.90,nan,0,5.0
paid,9.2314,200,2040.20,855.75,0,5.0
paid,9.3088,200,1963.10,778.61,0,6.0
paid,9.3848,200,1883.39,701.22,0,7.0
free,9.4007,503,3.32,nan,0,8.0
paid,9.4622,200,1809.96,624.53,0,8.0
paid,9.5391,503,2.53,nan,0,9.0
free,9.6018,503,2.03,nan,0,9.0
paid,9.6159,503,1.50,nan,0,9.0
paid,9.6926,503,1.61,nan,0,9.0
paid,9.7695,503,3.02,nan,0,9.0
free,9.8007,503,2.31,nan,0,9.0
paid,9.8472,503,2.79,nan,0,9.0
paid,9.9242,503,1.95,nan,0,9.0
paid,10.0004,503,4.25,nan,0,9.0
free,10.0014,503,4.10,nan,0,9.0
paid,10.0788,503,3.00,nan,0,9.0
paid,10.1558,200,2320.95,1110.63,0,1.0
free,10.2008,200,3429.67,2268.43,1,2.0
paid,10.2316,200,2243.87,1034.41,0,3.0
paid,10.3082,200,2167.89,957.87,0,4.0
paid,10.3848,200,2092.24,881.54,0,5.0
free,10.4008,503,2.44,nan,0,6.0
paid,10.4635,200,2012.33,802.51,0,6.0
paid,10.5391,200,1932.59,726.89,0,7.0
free,10.6007,503,2.80,nan,0,8.0
paid,10.6157,200,1860.71,650.59,0,8.0
paid,10.6930,503,2.70,nan,0,9.0
paid,10.7699,503,2.00,nan,0,9.0
free,10.8010,503,2.40,nan,0,9.0
paid,10.8467,503,3.13,nan,0,9.0
paid,10.9241,503,2.94,nan,0,9.0
free,11.0003,503,3.27,nan,0,9.0
paid,11.0010,503,3.22,nan,0,9.0
paid,11.0774,503,1.92,nan,0,9.0
paid,11.1546,503,2.99,nan,0,9.0
free,11.2008,503,3.10,nan,0,9.0
paid,11.2311,503,2.28,nan,0,9.0
paid,11.3085,200,2319.12,1160.66,0,1.0
paid,11.3852,200,2246.02,1083.87,0,2.0
free,11.4008,200,3359.10,2222.14,1,3.0
paid,11.4623,200,2165.62,1006.85,0,4.0
