concurrency,worker,index,status,latency_ms,wait_ms,inference_ms
1,0,0,200,558.980,0.074,554.617
1,0,1,200,556.603,0.071,553.404
1,0,2,200,562.886,0.107,558.766
1,0,3,200,557.038,0.094,553.829
1,0,4,200,558.847,0.072,555.905
1,0,5,200,561.133,0.075,558.115
1,0,6,200,559.296,0.159,556.124
1,0,7,200,564.275,0.066,561.413
1,0,8,200,564.327,0.070,561.345
1,0,9,200,565.332,0.109,561.201
1,0,10,200,561.816,0.097,558.436
1,0,11,200,561.979,0.069,558.224
1,0,12,200,561.872,0.111,557.872
1,0,13,200,555.428,0.089,551.508
1,0,14,200,552.658,0.096,548.813
1,0,15,200,558.052,0.106,553.594
1,0,16,200,554.209,0.097,550.180
1,0,17,200,562.402,0.102,558.708
1,0,18,200,556.917,0.092,553.383
1,0,19,200,557.977,0.085,554.517
1,0,20,200,561.251,0.065,558.196
1,0,21,200,559.163,0.122,555.316
1,0,22,200,559.197,0.068,556.409
1,0,23,200,557.632,0.102,553.925
1,0,24,200,564.238,0.091,560.151
1,0,25,200,561.900,0.096,558.316
1,0,26,200,554.310,0.092,551.138
1,0,27,200,563.981,0.068,561.833
1,0,28,200,553.094,0.042,549.977
1,0,29,200,558.026,0.090,554.538
1,0,30,200,558.297,0.084,554.481
1,0,31,200,562.345,0.113,558.574
1,0,32,200,557.670,0.098,553.101
1,0,33,200,558.586,0.102,554.308
1,0,34,200,559.854,0.092,555.716
1,0,35,200,561.312,0.111,556.523
1,0,36,200,562.009,0.098,557.958
1,0,37,200,557.017,0.100,553.119
1,0,38,200,556.895,0.095,553.521
1,0,39,200,553.527,0.092,549.442
2,0,0,200,563.744,0.263,557.375
2,1,0,200,1115.783,557.546,552.512
2,0,1,200,1105.780,548.516,553.253
2,1,1,200,1107.518,547.382,554.482
2,0,2,200,1105.696,550.836,550.852
2,1,2,200,1112.883,547.460,561.445
2,0,3,200,1111.303,557.614,550.285
2,1,3,200,1104.213,546.440,554.159
2,0,4,200,1104.036,551.202,549.209
2,1,4,200,1106.482,544.856,556.688
2,0,5,200,1115.660,552.910,558.980
2,1,5,200,1109.211,554.844,550.124
2,0,6,200,1101.074,546.668,550.380
2,1,6,200,1104.135,546.472,553.522
2,0,7,200,1108.704,549.371,555.586
2,1,7,200,1111.163,551.318,555.931
2,0,8,200,1110.913,552.593,554.834
2,1,8,200,1109.557,551.582,554.526
2,0,9,200,1104.722,551.245,549.892
2,1,9,200,1108.358,546.567,558.224
2,0,10,200,1116.399,554.329,557.683
2,1,10,200,1117.778,554.154,559.954
2,0,11,200,1117.017,556.177,557.068
2,1,11,200,1106.956,553.436,549.266
2,0,12,200,1104.250,545.749,554.617
2,1,12,200,1110.294,550.307,556.373
2,0,13,200,1112.499,552.462,556.280
2,1,13,200,1118.015,553.561,561.435
2,0,14,200,1122.944,557.972,561.347
2,1,14,200,1121.040,558.368,560.000
2,0,15,200,1116.178,556.362,556.129
2,1,15,200,1117.563,553.703,560.198
2,0,16,200,1117.067,556.635,556.690
2,1,16,200,1107.761,552.424,550.833
2,0,17,200,1102.446,547.398,552.647
2,1,17,200,1113.176,547.980,560.305
2,0,18,200,1119.258,558.784,557.662
2,1,18,200,1108.496,553.635,550.925
2,0,19,200,1107.294,547.489,556.203
2,1,19,200,1113.055,552.400,556.240
4,1,0,200,559.155,0.327,553.316
4,0,0,200,1120.584,553.651,560.247
4,2,0,200,1679.493,1113.921,560.023
4,3,0,200,2234.012,1673.938,554.935
4,1,1,200,2230.256,1672.110,554.976
4,0,1,200,2221.997,1666.188,551.731
4,2,1,200,2215.610,1658.422,553.122
4,3,1,200,2211.682,1656.822,551.349
4,1,2,200,2214.172,1653.752,557.227
4,0,2,200,2212.411,1658.142,550.852
4,2,2,200,2213.433,1655.430,553.499
4,3,2,200,2219.915,1658.582,557.521
4,1,3,200,2216.742,1658.594,554.490
4,0,3,200,2217.261,1662.608,550.982
4,2,3,200,2220.053,1658.660,556.855
4,3,3,200,2217.633,1658.933,554.895
4,1,4,200,2221.360,1659.278,557.862
4,0,4,200,2225.540,1666.194,555.587
4,2,4,200,2226.303,1663.720,557.769
4,3,4,200,2222.641,1667.650,550.873
4,1,5,200,2216.470,1660.794,551.977
4,0,5,200,2222.270,1657.167,561.753
4,2,5,200,2221.569,1661.163,556.591
4,3,5,200,2226.538,1666.547,556.504
4,1,6,200,2225.541,1671.622,550.106
4,0,6,200,2226.337,1660.617,562.018
4,2,6,200,2219.803,1665.334,550.575
4,3,6,200,2216.212,1659.753,552.375
4,1,7,200,2221.612,1661.414,556.012
4,0,7,200,2216.921,1655.410,557.622
4,2,7,200,2224.559,1662.204,558.776
4,3,7,200,2233.751,1668.635,561.240
4,1,8,200,2227.334,1673.741,549.868
4,0,8,200,2223.703,1666.345,553.620
4,2,8,200,2222.202,1661.674,556.800
4,3,8,200,2216.845,1657.072,556.613
4,1,9,200,2225.201,1664.001,557.532
4,0,9,200,2222.987,1667.739,551.110
4,2,9,200,2214.628,1662.315,548.593
4,3,9,200,2219.614,1654.707,561.292
8,0,0,200,561.707,0.084,552.127
8,1,0,200,1120.960,552.121,559.632
8,2,0,200,1682.016,1111.812,561.319
8,3,0,200,2237.677,1673.191,555.913
8,4,0,200,2788.646,2229.168,551.563
8,5,0,200,3347.854,2780.796,559.102
8,6,0,200,3895.765,3339.981,548.103
8,7,0,200,4452.153,3888.071,556.341
8,0,1,200,4445.199,3888.848,552.596
8,1,1,200,4440.165,3881.547,554.547
