concurrency,worker,index,status,latency_ms,wait_ms,inference_ms,batch_size
1,0,0,200,567.189,10.585,551.362,1.00
1,0,1,200,573.024,10.506,558.971,1.00
1,0,2,200,569.589,10.663,554.356,1.00
1,0,3,200,568.426,10.045,555.344,1.00
1,0,4,200,567.812,10.494,554.600,1.00
1,0,5,200,567.547,10.490,553.888,1.00
1,0,6,200,569.415,10.432,555.827,1.00
1,0,7,200,567.368,10.013,553.943,1.00
1,0,8,200,571.053,10.482,557.198,1.00
1,0,9,200,575.996,10.548,562.273,1.00
1,0,10,200,576.100,10.559,561.464,1.00
1,0,11,200,572.885,10.059,558.779,1.00
1,0,12,200,572.439,10.589,557.479,1.00
1,0,13,200,573.474,10.576,558.813,1.00
1,0,14,200,570.163,10.565,555.383,1.00
1,0,15,200,565.180,10.597,550.285,1.00
1,0,16,200,567.404,10.555,553.881,1.00
1,0,17,200,568.630,10.410,554.770,1.00
1,0,18,200,572.019,10.520,557.461,1.00
1,0,19,200,567.801,10.035,553.802,1.00
1,0,20,200,572.014,10.549,558.960,1.00
1,0,21,200,573.737,10.500,559.782,1.00
1,0,22,200,571.855,10.513,557.826,1.00
1,0,23,200,568.868,10.619,554.784,1.00
1,0,24,200,564.828,10.611,550.932,1.00
1,0,25,200,571.474,10.579,557.890,1.00
1,0,26,200,571.298,10.516,557.619,1.00
1,0,27,200,566.591,10.571,553.500,1.00
1,0,28,200,575.902,10.608,562.161,1.00
1,0,29,200,566.863,10.560,552.203,1.00
1,0,30,200,567.841,10.578,553.816,1.00
1,0,31,200,567.808,10.518,553.683,1.00
1,0,32,200,574.922,10.541,560.113,1.00
1,0,33,200,565.024,10.027,550.658,1.00
1,0,34,200,567.987,10.587,553.776,1.00
1,0,35,200,571.922,10.583,556.353,1.00
1,0,36,200,574.100,10.010,559.572,1.00
1,0,37,200,568.763,10.010,555.732,1.00
1,0,38,200,566.957,10.532,553.405,1.00
1,0,39,200,570.834,10.628,555.967,1.00
2,0,0,200,606.791,10.036,590.543,2.00
2,1,0,200,606.938,9.763,590.543,2.00
2,0,1,200,617.131,10.025,599.506,2.00
2,1,1,200,617.529,9.735,599.506,2.00
2,0,2,200,607.768,10.018,590.729,2.00
2,1,2,200,607.690,9.753,590.729,2.00
2,0,3,200,612.712,10.018,592.478,2.00
2,1,3,200,612.877,9.768,592.478,2.00
2,0,4,200,610.811,10.376,595.750,2.00
2,1,4,200,610.229,10.221,595.750,2.00
2,0,5,200,606.895,10.640,591.533,2.00
2,1,5,200,607.060,10.475,591.533,2.00
2,0,6,200,617.832,10.100,602.678,2.00
2,1,6,200,618.395,9.816,602.678,2.00
2,0,7,200,609.241,10.258,593.651,2.00
2,1,7,200,608.814,9.406,593.651,2.00
2,0,8,200,606.159,10.027,591.369,2.00
2,1,8,200,606.017,9.783,591.369,2.00
2,0,9,200,605.802,10.663,590.963,2.00
2,1,9,200,605.755,10.485,590.963,2.00
2,0,10,200,606.535,10.033,592.859,2.00
2,1,10,200,606.685,9.863,592.859,2.00
2,0,11,200,614.076,10.015,600.107,2.00
2,1,11,200,613.897,9.561,600.107,2.00
2,0,12,200,604.577,10.644,590.250,2.00
2,1,12,200,604.973,10.470,590.250,2.00
2,0,13,200,611.338,10.039,596.518,2.00
2,1,13,200,611.094,9.837,596.518,2.00
2,0,14,200,609.277,10.640,594.364,2.00
2,1,14,200,609.315,10.471,594.364,2.00
2,0,15,200,610.208,10.584,594.799,2.00
2,1,15,200,610.334,10.422,594.799,2.00
2,0,16,200,609.897,10.021,595.638,2.00
2,1,16,200,609.984,9.836,595.638,2.00
2,0,17,200,608.423,10.351,593.874,2.00
2,1,17,200,608.470,9.513,593.874,2.00
2,0,18,200,612.433,10.012,598.371,2.00
2,1,18,200,612.278,9.769,598.371,2.00
2,0,19,200,608.412,10.039,594.065,2.00
2,1,19,200,608.064,9.790,594.065,2.00
4,0,0,200,694.851,10.018,678.952,4.00
4,1,0,200,696.590,9.924,678.952,4.00
4,2,0,200,697.123,9.877,678.952,4.00
4,3,0,200,697.507,9.763,678.952,4.00
4,0,1,200,699.122,10.422,680.864,4.00
4,1,1,200,699.666,9.097,680.864,4.00
4,2,1,200,699.780,8.502,680.864,4.00
4,3,1,200,700.331,8.246,680.864,4.00
4,0,2,200,704.545,10.009,684.478,4.00
4,1,2,200,702.568,8.269,684.478,4.00
4,2,2,200,703.374,7.655,684.478,4.00
4,3,2,200,702.980,7.258,684.478,4.00
4,0,3,200,698.168,10.007,680.702,4.00
4,1,3,200,699.355,9.128,680.702,4.00
4,2,3,200,698.296,8.595,680.702,4.00
4,3,3,200,698.053,8.436,680.702,4.00
4,0,4,200,693.828,10.372,675.619,4.00
4,1,4,200,692.657,7.683,675.619,4.00
4,2,4,200,692.992,7.224,675.619,4.00
4,3,4,200,693.633,7.025,675.619,4.00
4,0,5,200,697.263,10.015,679.798,4.00
4,1,5,200,697.609,8.630,679.798,4.00
4,2,5,200,698.489,7.624,679.798,4.00
4,3,5,200,698.359,7.281,679.798,4.00
4,0,6,200,698.868,10.361,679.438,4.00
4,1,6,200,700.065,9.184,679.438,4.00
4,2,6,200,699.339,8.566,679.438,4.00
4,3,6,200,698.930,8.357,679.438,4.00
4,0,7,200,699.517,10.646,679.960,4.00
4,1,7,200,698.466,9.496,679.960,4.00
4,2,7,200,700.341,9.025,679.960,4.00
4,3,7,200,700.866,8.791,679.960,4.00
4,0,8,200,705.038,10.203,684.701,4.00
4,1,8,200,708.025,8.977,684.701,4.00
4,2,8,200,706.023,8.476,684.701,4.00
4,3,8,200,705.788,8.197,684.701,4.00
4,0,9,200,705.348,10.022,683.682,4.00
4,1,9,200,701.553,8.559,683.682,4.00
4,2,9,200,701.989,7.904,683.682,4.00
4,3,9,200,701.376,7.515,683.682,4.00
8,1,0,200,856.473,1.398,842.949,8.00
8,6,0,200,860.034,1.449,842.949,8.00
8,2,0,200,862.510,1.346,842.949,8.00
8,4,0,200,863.130,1.254,842.949,8.00
8,0,0,200,866.126,1.698,842.949,8.00
8,5,0,200,865.323,1.510,842.949,8.00
8,3,0,200,867.158,1.298,842.949,8.00
8,7,0,200,866.695,1.160,842.949,8.00
8,3,1,200,860.055,2.801,843.631,8.00
8,1,1,200,872.635,8.865,843.631,8.00
8,2,1,200,871.220,4.842,843.631,8.00
8,5,1,200,868.351,1.577,843.631,8.00
8,7,1,200,867.274,3.716,843.631,8.00
8,0,1,200,871.959,6.961,843.631,8.00
8,4,1,200,874.205,2.069,843.631,8.00
