concurrency,worker,index,status,latency_ms,wait_ms,inference_ms,batch_size
1,0,0,200,556.373,0.041,552.001,1.00
1,0,1,200,558.318,0.038,554.046,1.00
1,0,2,200,553.367,0.043,549.450,1.00
1,0,3,200,562.470,0.042,558.790,1.00
1,0,4,200,556.731,0.046,553.589,1.00
1,0,5,200,559.284,0.036,556.008,1.00
1,0,6,200,563.726,0.046,559.713,1.00
1,0,7,200,560.361,0.044,556.720,1.00
1,0,8,200,560.867,0.055,557.240,1.00
1,0,9,200,565.700,0.042,562.199,1.00
1,0,10,200,560.671,0.037,557.330,1.00
1,0,11,200,562.548,0.044,558.714,1.00
1,0,12,200,565.405,0.044,561.563,1.00
1,0,13,200,560.747,0.045,558.401,1.00
1,0,14,200,557.836,0.029,554.718,1.00
1,0,15,200,553.616,0.045,549.541,1.00
1,0,16,200,558.304,0.048,553.896,1.00
1,0,17,200,554.369,0.047,550.170,1.00
1,0,18,200,561.685,0.048,557.579,1.00
1,0,19,200,554.374,0.044,550.670,1.00
1,0,20,200,562.961,0.044,558.955,1.00
1,0,21,200,565.180,0.045,560.079,1.00
1,0,22,200,560.632,0.057,556.815,1.00
1,0,23,200,560.754,0.040,556.712,1.00
1,0,24,200,558.306,0.052,554.234,1.00
1,0,25,200,565.568,0.042,561.677,1.00
1,0,26,200,564.317,0.042,560.606,1.00
1,0,27,200,558.766,0.045,555.239,1.00
1,0,28,200,565.712,0.042,562.084,1.00
1,0,29,200,551.803,0.045,548.395,1.00
1,0,30,200,558.353,0.114,554.969,1.00
1,0,31,200,558.980,0.043,555.471,1.00
1,0,32,200,559.135,0.041,555.701,1.00
1,0,33,200,556.786,0.043,553.355,1.00
1,0,34,200,558.816,0.040,555.714,1.00
1,0,35,200,561.117,0.047,557.359,1.00
1,0,36,200,564.227,0.058,560.545,1.00
1,0,37,200,562.271,0.039,558.675,1.00
1,0,38,200,556.856,0.051,553.432,1.00
1,0,39,200,558.995,0.049,555.582,1.00
2,0,0,200,557.370,0.178,550.116,1.00
2,1,0,200,1115.666,550.398,558.784,1.00
2,0,1,200,1112.491,555.233,553.391,1.00
2,1,1,200,1105.952,550.170,551.934,1.00
2,0,2,200,1105.011,548.551,552.472,1.00
2,1,2,200,1106.272,548.511,553.558,1.00
2,0,3,200,1114.092,549.648,560.417,1.00
2,1,3,200,1114.832,557.033,554.163,1.00
2,0,4,200,1107.957,550.835,553.879,1.00
2,1,4,200,1107.376,550.516,553.381,1.00
2,0,5,200,1107.086,549.989,552.993,1.00
2,1,5,200,1112.874,549.493,559.219,1.00
2,0,6,200,1107.974,555.500,548.993,1.00
2,1,6,200,1104.819,545.545,555.556,1.00
2,0,7,200,1109.783,552.612,553.271,1.00
2,1,7,200,1110.668,549.485,557.574,1.00
2,0,8,200,1110.904,554.199,553.054,1.00
2,1,8,200,1110.807,550.091,557.353,1.00
2,0,9,200,1115.286,553.763,557.808,1.00
2,1,9,200,1109.204,554.674,550.953,1.00
2,0,10,200,1110.629,547.473,559.240,1.00
2,1,10,200,1117.715,556.086,557.983,1.00
2,0,11,200,1120.589,554.223,561.656,1.00
2,1,11,200,1121.054,558.064,558.401,1.00
2,0,12,200,1110.795,553.968,552.851,1.00
2,1,12,200,1107.365,548.507,555.351,1.00
2,0,13,200,1111.135,552.208,555.169,1.00
2,1,13,200,1110.535,552.500,554.694,1.00
2,0,14,200,1115.681,550.866,560.887,1.00
2,1,14,200,1123.168,557.685,561.670,1.00
2,0,15,200,1121.021,558.209,558.901,1.00
2,1,15,200,1115.664,555.284,556.551,1.00
2,0,16,200,1115.306,553.180,558.452,1.00
2,1,16,200,1116.438,555.048,557.910,1.00
2,0,17,200,1112.845,554.616,554.829,1.00
2,1,17,200,1103.624,551.768,548.632,1.00
2,0,18,200,1105.145,545.397,556.518,1.00
2,1,18,200,1113.504,553.504,556.471,1.00
2,0,19,200,1111.117,553.806,553.692,1.00
2,1,19,200,1110.683,550.266,556.465,1.00
4,0,0,200,561.859,0.028,554.373,1.00
4,1,0,200,1119.522,554.437,558.109,1.00
4,2,0,200,1679.742,1112.423,560.534,1.00
4,3,0,200,2240.096,1673.096,560.768,1.00
4,0,1,200,2236.301,1676.047,556.121,1.00
4,1,1,200,2229.357,1673.695,551.876,1.00
4,2,1,200,2222.846,1665.730,553.387,1.00
4,3,1,200,2215.816,1658.730,553.491,1.00
4,0,2,200,2212.155,1655.292,553.014,1.00
4,1,2,200,2220.474,1657.522,559.391,1.00
4,2,2,200,2220.798,1662.824,554.310,1.00
4,3,2,200,2221.425,1663.820,553.884,1.00
4,0,3,200,2226.217,1664.666,557.748,1.00
4,1,3,200,2222.690,1662.762,556.096,1.00
4,2,3,200,2223.964,1664.892,555.911,1.00
4,3,3,200,2226.520,1666.487,556.253,1.00
4,0,4,200,2224.829,1664.936,555.888,1.00
4,1,4,200,2225.073,1665.141,556.179,1.00
4,2,4,200,2224.569,1665.595,554.972,1.00
4,3,4,200,2224.617,1664.193,556.634,1.00
4,0,5,200,2217.983,1664.668,549.707,1.00
4,1,5,200,2216.896,1657.863,555.613,1.00
4,2,5,200,2219.855,1658.961,557.496,1.00
4,3,5,200,2220.346,1659.229,557.530,1.00
4,0,6,200,2225.014,1667.668,553.713,1.00
4,1,6,200,2222.713,1666.657,552.958,1.00
4,2,6,200,2223.329,1661.459,558.478,1.00
4,3,6,200,2219.205,1662.930,553.243,1.00
4,0,7,200,2218.927,1661.419,553.350,1.00
4,1,7,200,2222.466,1662.154,556.280,1.00
4,2,7,200,2222.049,1659.917,558.199,1.00
4,3,7,200,2229.099,1665.017,559.796,1.00
4,0,8,200,2234.855,1670.413,560.088,1.00
4,1,8,200,2228.011,1674.174,549.713,1.00
4,2,8,200,2220.455,1666.295,550.714,1.00
4,3,8,200,2217.937,1656.605,557.045,1.00
4,0,9,200,2212.215,1654.490,554.236,1.00
4,1,9,200,2222.091,1659.303,558.912,1.00
4,2,9,200,2222.255,1667.404,550.813,1.00
4,3,9,200,2216.436,1660.883,552.493,1.00
