concurrency,worker,index,status,latency_ms,wait_ms,inference_ms,batch_size,ttft_client_ms,ttft_server_ms
1,0,0,200,566.675,10.423,553.365,1.00,nan,58.947
1,0,1,200,566.413,10.017,552.747,1.00,nan,58.066
1,0,2,200,569.695,10.530,556.032,1.00,nan,62.356
1,0,3,200,569.022,10.423,555.128,1.00,nan,60.725
1,0,4,200,571.795,10.583,558.047,1.00,nan,63.926
1,0,5,200,571.322,10.555,557.718,1.00,nan,64.721
1,0,6,200,571.401,10.477,558.028,1.00,nan,64.364
1,0,7,200,568.306,10.386,555.037,1.00,nan,60.166
1,0,8,200,573.263,10.583,557.943,1.00,nan,64.197
1,0,9,200,570.114,10.557,555.569,1.00,nan,61.285
1,0,10,200,566.184,10.574,551.522,1.00,nan,57.867
1,0,11,200,563.169,10.395,549.840,1.00,nan,55.392
1,0,12,200,563.441,10.558,550.266,1.00,nan,55.589
1,0,13,200,564.698,10.430,551.193,1.00,nan,56.778
1,0,14,200,571.420,10.483,556.972,1.00,nan,62.828
1,0,15,200,563.886,10.018,550.242,1.00,nan,55.856
1,0,16,200,567.759,10.368,553.946,1.00,nan,61.752
1,0,17,200,569.752,10.490,556.493,1.00,nan,62.132
1,0,18,200,568.410,10.592,554.141,1.00,nan,60.371
1,0,19,200,567.745,10.538,553.115,1.00,nan,58.452
1,0,20,200,564.654,10.526,550.599,1.00,nan,56.295
1,0,21,200,571.933,10.489,558.051,1.00,nan,63.708
1,0,22,200,571.161,10.486,556.951,1.00,nan,62.601
1,0,23,200,566.138,10.520,551.638,1.00,nan,58.338
1,0,24,200,572.697,10.410,558.509,1.00,nan,63.455
1,0,25,200,563.767,10.497,549.096,1.00,nan,55.084
1,0,26,200,566.279,10.537,551.328,1.00,nan,57.097
1,0,27,200,566.686,10.503,552.716,1.00,nan,58.472
1,0,28,200,568.764,10.484,554.884,1.00,nan,62.351
1,0,29,200,563.829,10.475,549.930,1.00,nan,55.402
1,0,30,200,566.364,10.419,552.049,1.00,nan,58.836
1,0,31,200,568.306,10.522,553.806,1.00,nan,60.431
1,0,32,200,572.308,10.516,558.252,1.00,nan,63.840
1,0,33,200,569.193,10.465,554.577,1.00,nan,61.664
1,0,34,200,563.716,10.500,549.719,1.00,nan,56.586
1,0,35,200,565.554,10.522,552.015,1.00,nan,57.713
1,0,36,200,564.922,10.538,550.805,1.00,nan,57.709
1,0,37,200,570.582,10.499,556.621,1.00,nan,62.296
1,0,38,200,563.082,10.499,549.725,1.00,nan,55.389
1,0,39,200,564.842,10.574,550.027,1.00,nan,56.347
2,0,0,200,609.897,10.412,593.003,2.00,nan,59.050
2,1,0,200,610.263,10.360,593.003,2.00,nan,58.997
2,0,1,200,604.402,10.032,590.942,2.00,nan,55.956
2,1,1,200,603.849,9.803,590.942,2.00,nan,55.727
2,0,2,200,613.494,10.467,598.898,2.00,nan,64.577
2,1,2,200,613.925,10.392,598.898,2.00,nan,64.502
2,0,3,200,606.433,10.039,592.428,2.00,nan,57.352
2,1,3,200,606.107,9.846,592.428,2.00,nan,57.158
2,0,4,200,604.974,10.593,590.125,2.00,nan,57.810
2,1,4,200,605.271,10.505,590.125,2.00,nan,57.723
2,0,5,200,604.433,10.656,590.505,2.00,nan,57.221
2,1,5,200,604.096,10.454,590.505,2.00,nan,57.019
2,0,6,200,607.055,10.455,594.346,2.00,nan,59.911
2,1,6,200,607.148,10.375,594.346,2.00,nan,59.830
2,0,7,200,609.728,10.343,595.494,2.00,nan,61.855
2,1,7,200,610.025,10.266,595.494,2.00,nan,61.779
2,0,8,200,605.620,10.008,589.925,2.00,nan,55.216
2,1,8,200,605.739,9.597,589.925,2.00,nan,54.804
2,0,9,200,608.591,10.564,593.061,2.00,nan,58.525
2,1,9,200,608.533,10.387,593.061,2.00,nan,58.349
2,0,10,200,607.561,10.671,593.752,2.00,nan,60.895
2,1,10,200,607.165,10.505,593.752,2.00,nan,60.729
2,0,11,200,607.210,10.556,594.661,2.00,nan,60.941
2,1,11,200,607.144,10.400,594.661,2.00,nan,60.784
2,0,12,200,607.968,10.446,593.557,2.00,nan,59.169
2,1,12,200,609.201,10.357,593.557,2.00,nan,59.079
2,0,13,200,610.079,10.015,594.727,2.00,nan,59.708
2,1,13,200,609.889,9.815,594.727,2.00,nan,59.509
2,0,14,200,609.406,10.009,595.161,2.00,nan,60.116
2,1,14,200,609.036,9.799,595.161,2.00,nan,59.906
2,0,15,200,607.498,10.498,592.346,2.00,nan,58.821
2,1,15,200,607.429,10.363,592.346,2.00,nan,58.685
2,0,16,200,612.386,10.031,596.699,2.00,nan,61.600
2,1,16,200,612.328,9.825,596.699,2.00,nan,61.395
2,0,17,200,608.607,10.664,594.135,2.00,nan,60.959
2,1,17,200,608.210,10.461,594.135,2.00,nan,60.756
2,0,18,200,614.327,10.425,598.979,2.00,nan,65.296
2,1,18,200,614.878,10.337,598.979,2.00,nan,65.209
2,0,19,200,613.188,10.642,598.014,2.00,nan,63.642
2,1,19,200,613.290,10.436,598.014,2.00,nan,63.435
4,1,0,200,686.782,9.801,671.678,4.00,nan,56.490
4,0,0,200,689.389,10.015,671.678,4.00,nan,56.705
4,3,0,200,689.666,9.566,671.678,4.00,nan,56.255
4,2,0,200,690.435,9.601,671.678,4.00,nan,56.291
4,1,1,200,696.215,10.029,677.481,4.00,nan,61.821
4,2,1,200,693.240,9.241,677.481,4.00,nan,61.034
4,0,1,200,696.072,9.681,677.481,4.00,nan,61.474
4,3,1,200,695.965,9.421,677.481,4.00,nan,61.214
4,1,2,200,691.536,10.011,674.846,4.00,nan,60.578
4,2,2,200,692.701,8.649,674.846,4.00,nan,59.217
4,0,2,200,692.009,9.571,674.846,4.00,nan,60.138
4,3,2,200,691.972,9.099,674.846,4.00,nan,59.667
4,1,3,200,694.397,10.219,677.512,4.00,nan,62.031
4,2,3,200,692.769,9.296,677.512,4.00,nan,61.108
4,0,3,200,692.616,9.740,677.512,4.00,nan,61.552
4,3,3,200,692.196,9.483,677.512,4.00,nan,61.295
4,1,4,200,696.658,10.012,681.443,4.00,nan,65.609
4,2,4,200,696.909,9.429,681.443,4.00,nan,65.027
4,0,4,200,696.753,9.864,681.443,4.00,nan,65.461
4,3,4,200,697.222,9.591,681.443,4.00,nan,65.189
4,1,5,200,697.414,10.009,681.154,4.00,nan,65.483
4,3,5,200,698.538,9.524,681.154,4.00,nan,64.998
4,0,5,200,699.683,9.954,681.154,4.00,nan,65.429
4,2,5,200,700.360,9.670,681.154,4.00,nan,65.144
4,1,6,200,696.079,10.025,679.901,4.00,nan,64.853
4,3,6,200,695.380,9.250,679.901,4.00,nan,64.078
4,0,6,200,695.275,9.711,679.901,4.00,nan,64.540
4,2,6,200,695.238,9.423,679.901,4.00,nan,64.251
4,1,7,200,692.201,10.007,677.154,4.00,nan,61.284
4,3,7,200,691.720,9.312,677.154,4.00,nan,60.589
4,0,7,200,692.271,9.722,677.154,4.00,nan,60.999
4,2,7,200,692.631,9.496,677.154,4.00,nan,60.773
4,1,8,200,698.970,10.045,680.609,4.00,nan,66.036
4,3,8,200,698.042,8.111,680.609,4.00,nan,64.103
4,0,8,200,697.656,8.831,680.609,4.00,nan,64.823
4,2,8,200,698.157,8.376,680.609,4.00,nan,64.367
4,1,9,200,692.460,10.028,677.917,4.00,nan,62.613
4,2,9,200,690.309,9.673,677.917,4.00,nan,62.258
4,0,9,200,691.887,9.954,677.917,4.00,nan,62.539
4,3,9,200,692.515,9.847,677.917,4.00,nan,62.432
8,4,0,200,844.603,1.154,838.413,8.00,nan,53.643
8,0,0,200,846.729,1.278,838.413,8.00,nan,53.767
8,2,0,200,846.670,1.227,838.413,8.00,nan,53.716
8,6,0,200,846.497,1.117,838.413,8.00,nan,53.606
8,1,0,200,847.503,1.248,838.413,8.00,nan,53.737
8,3,0,200,847.552,1.178,838.413,8.00,nan,53.667
8,5,0,200,847.571,1.137,838.413,8.00,nan,53.626
8,7,0,200,847.663,1.067,838.413,8.00,nan,53.556
8,4,1,200,849.017,4.759,836.839,8.00,nan,54.718
8,0,1,200,851.001,4.373,836.839,8.00,nan,54.332
8,3,1,200,850.238,2.754,836.839,8.00,nan,52.713
8,5,1,200,850.672,1.321,836.839,8.00,nan,51.280
8,2,1,200,852.940,3.489,836.839,8.00,nan,53.448
8,6,1,200,853.082,2.095,836.839,8.00,nan,52.054
8,7,1,200,852.117,1.594,836.839,8.00,nan,51.553
8,1,1,200,853.379,1.145,836.839,8.00,nan,51.104
8,4,2,200,861.929,4.640,845.366,8.00,nan,62.680
8,0,2,200,861.820,4.273,845.366,8.00,nan,62.313
8,6,2,200,859.680,2.696,845.366,8.00,nan,60.736
8,7,2,200,859.900,1.305,845.366,8.00,nan,59.345
8,3,2,200,863.182,3.327,845.366,8.00,nan,61.367
8,5,2,200,863.068,2.034,845.366,8.00,nan,60.074
8,1,2,200,861.429,1.587,845.366,8.00,nan,59.627
8,2,2,200,863.004,1.143,845.366,8.00,nan,59.183
8,4,3,200,856.872,4.383,841.869,8.00,nan,58.320
8,0,3,200,854.187,4.202,841.869,8.00,nan,58.138
8,5,3,200,854.054,2.616,841.869,8.00,nan,56.552
8,1,3,200,854.187,1.288,841.869,8.00,nan,55.224
8,6,3,200,857.365,3.275,841.869,8.00,nan,57.211
8,7,3,200,857.702,1.990,841.869,8.00,nan,55.926
8,2,3,200,856.161,1.590,841.869,8.00,nan,55.526
8,3,3,200,858.098,1.140,841.869,8.00,nan,55.076
8,4,4,200,852.182,3.083,837.606,8.00,nan,54.105
8,0,4,200,851.786,3.038,837.606,8.00,nan,54.060
8,7,4,200,849.353,1.406,837.606,8.00,nan,52.428
8,2,4,200,848.837,0.135,837.606,8.00,nan,51.157
8,5,4,200,852.122,2.012,837.606,8.00,nan,53.034
8,1,4,200,851.772,0.677,837.606,8.00,nan,51.699
8,3,4,200,849.208,0.350,837.606,8.00,nan,51.372
8,6,4,200,851.586,0.008,837.606,8.00,nan,51.030
16,0,0,200,851.673,1.563,840.402,8.00,nan,55.584
16,4,0,200,852.268,1.451,840.402,8.00,nan,55.472
16,2,0,200,855.374,1.490,840.402,8.00,nan,55.511
16,6,0,200,855.511,1.416,840.402,8.00,nan,55.438
16,3,0,200,856.604,1.468,840.402,8.00,nan,55.490
16,1,0,200,857.577,1.532,840.402,8.00,nan,55.554
16,5,0,200,858.026,1.434,840.402,8.00,nan,55.455
16,7,0,200,858.564,1.382,840.402,8.00,nan,55.403
16,8,0,200,1688.413,842.484,838.664,8.00,nan,896.148
16,10,0,200,1688.460,842.448,838.664,8.00,nan,896.112
16,12,0,200,1689.647,842.404,838.664,8.00,nan,896.068
16,14,0,200,1689.872,842.314,838.664,8.00,nan,895.977
16,9,0,200,1690.802,842.466,838.664,8.00,nan,896.129
16,11,0,200,1690.975,842.421,838.664,8.00,nan,896.085
16,13,0,200,1691.252,842.387,838.664,8.00,nan,896.050
16,15,0,200,1691.428,842.269,838.664,8.00,nan,895.933
16,0,1,200,1680.599,827.175,842.157,8.00,nan,883.606
16,6,1,200,1676.198,820.295,842.157,8.00,nan,876.726
16,3,1,200,1677.088,822.915,842.157,8.00,nan,879.345
16,5,1,200,1675.860,817.925,842.157,8.00,nan,874.356
16,7,1,200,1675.653,821.063,842.157,8.00,nan,877.494
16,4,1,200,1682.960,824.942,842.157,8.00,nan,881.373
16,2,1,200,1680.479,818.432,842.157,8.00,nan,874.863
16,1,1,200,1678.913,817.245,842.157,8.00,nan,873.676
16,8,1,200,1689.490,836.547,844.485,8.00,nan,893.592
16,9,1,200,1687.233,834.502,844.485,8.00,nan,891.547
