concurrency,worker,index,status,latency_ms,wait_ms,inference_ms,batch_size,ttft_client_ms,ttft_server_ms
1,0,0,200,564.286,10.005,551.089,1.00,58.853,56.430
1,0,1,200,563.321,10.636,549.849,1.00,57.726,55.889
1,0,2,200,563.363,10.533,549.429,1.00,57.698,55.507
1,0,3,200,569.250,10.041,555.808,1.00,63.537,61.015
1,0,4,200,564.774,10.051,551.174,1.00,58.895,56.817
1,0,5,200,564.903,10.617,550.523,1.00,58.447,56.166
1,0,6,200,568.024,10.031,554.461,1.00,61.816,59.428
1,0,7,200,565.965,10.015,552.491,1.00,60.394,58.074
1,0,8,200,565.238,10.029,552.409,1.00,58.771,57.086
1,0,9,200,568.791,10.033,555.282,1.00,62.794,60.892
1,0,10,200,567.219,10.011,553.470,1.00,61.454,59.297
1,0,11,200,568.406,10.677,555.041,1.00,62.898,60.942
1,0,12,200,565.775,10.658,552.225,1.00,59.907,58.048
1,0,13,200,568.436,10.625,554.396,1.00,62.086,60.191
1,0,14,200,561.832,10.610,547.939,1.00,57.128,54.817
1,0,15,200,564.725,10.009,552.219,1.00,59.518,57.703
1,0,16,200,571.491,10.677,558.417,1.00,66.244,64.422
1,0,17,200,567.229,10.620,554.000,1.00,61.189,59.310
1,0,18,200,567.172,10.650,553.814,1.00,62.042,60.064
1,0,19,200,562.994,10.613,549.512,1.00,57.152,54.949
1,0,20,200,571.814,10.054,558.344,1.00,66.581,64.316
1,0,21,200,565.013,10.654,551.162,1.00,58.830,57.174
1,0,22,200,564.785,10.030,551.011,1.00,58.547,56.337
1,0,23,200,566.161,10.051,552.681,1.00,60.612,58.375
1,0,24,200,567.339,10.032,554.122,1.00,62.439,60.355
1,0,25,200,569.422,10.645,556.160,1.00,64.295,62.727
1,0,26,200,570.885,10.657,557.377,1.00,66.876,64.634
1,0,27,200,563.221,10.046,550.331,1.00,57.259,55.435
1,0,28,200,563.662,10.588,550.307,1.00,58.091,56.348
1,0,29,200,566.441,10.578,553.493,1.00,61.322,59.385
1,0,30,200,567.900,10.009,555.135,1.00,62.153,60.824
1,0,31,200,569.624,10.033,556.245,1.00,63.868,62.055
1,0,32,200,562.347,10.047,549.035,1.00,56.977,54.967
1,0,33,200,561.122,10.043,548.522,1.00,57.556,55.615
1,0,34,200,570.757,10.645,558.020,1.00,65.286,63.864
1,0,35,200,562.567,10.610,549.040,1.00,56.266,54.850
1,0,36,200,569.697,10.032,556.494,1.00,64.728,61.909
1,0,37,200,569.742,10.488,557.883,1.00,64.609,63.543
1,0,38,200,564.699,10.361,552.486,1.00,58.910,58.063
1,0,39,200,563.685,10.672,550.237,1.00,59.414,57.888
2,1,0,200,611.178,10.451,597.329,2.00,64.734,62.824
2,0,0,200,612.604,10.542,597.329,2.00,65.227,62.915
2,1,1,200,603.955,10.141,590.558,2.00,58.488,55.515
2,0,1,200,603.322,9.883,590.558,2.00,57.554,55.258
2,1,2,200,609.579,10.586,595.740,2.00,63.811,62.205
2,0,2,200,610.075,10.489,595.740,2.00,63.506,62.108
2,1,3,200,605.120,10.013,590.924,2.00,58.688,56.042
2,0,3,200,604.936,9.715,590.924,2.00,57.847,55.744
2,1,4,200,606.842,10.017,593.091,2.00,60.418,58.063
2,0,4,200,607.387,9.732,593.091,2.00,59.740,57.777
2,1,5,200,612.098,10.021,597.423,2.00,64.855,61.596
2,0,5,200,611.543,9.686,597.423,2.00,63.738,61.261
2,1,6,200,604.005,10.034,590.528,2.00,58.623,55.943
2,0,6,200,603.748,9.773,590.528,2.00,58.066,55.682
2,1,7,200,604.371,10.009,590.099,2.00,56.443,54.537
2,0,7,200,605.254,9.856,590.099,2.00,56.132,54.383
2,1,8,200,605.630,10.018,590.792,2.00,60.775,56.843
2,0,8,200,604.649,9.642,590.792,2.00,59.612,56.468
2,1,9,200,612.589,10.643,598.478,2.00,66.877,65.293
2,0,9,200,613.295,10.552,598.478,2.00,66.695,65.202
2,1,10,200,608.930,10.026,594.268,2.00,62.576,59.577
2,0,10,200,608.640,9.748,594.268,2.00,61.700,59.299
2,1,11,200,606.121,10.015,591.552,2.00,58.808,56.489
2,0,11,200,606.570,9.800,591.552,2.00,58.190,56.275
2,1,12,200,604.865,10.023,590.121,2.00,59.287,56.175
2,0,12,200,604.479,9.766,590.121,2.00,58.265,55.918
2,1,13,200,611.447,10.029,597.452,2.00,64.507,62.277
2,0,13,200,611.522,9.756,597.452,2.00,63.854,62.004
2,1,14,200,611.188,10.021,596.266,2.00,65.058,62.342
2,0,14,200,611.260,9.749,596.266,2.00,64.340,62.070
2,1,15,200,608.938,10.028,595.652,2.00,64.877,61.616
2,0,15,200,608.393,9.723,595.652,2.00,64.221,61.310
2,1,16,200,608.165,10.521,594.284,2.00,61.220,59.718
2,0,16,200,608.697,10.428,594.284,2.00,60.960,59.625
2,1,17,200,612.717,10.028,598.470,2.00,65.806,63.057
2,0,17,200,612.288,9.807,598.470,2.00,65.063,62.837
2,1,18,200,605.602,10.027,592.330,2.00,59.428,57.803
2,0,18,200,606.072,9.878,592.330,2.00,59.100,57.654
2,1,19,200,614.085,10.028,599.736,2.00,66.953,64.024
2,0,19,200,613.799,9.729,599.736,2.00,66.163,63.724
4,3,0,200,691.518,9.931,675.356,4.00,62.595,58.452
4,0,0,200,693.578,10.188,675.356,4.00,64.205,58.709
4,1,0,200,693.793,10.073,675.356,4.00,63.835,58.594
4,2,0,200,694.525,10.029,675.356,4.00,63.618,58.550
4,0,1,200,699.689,9.984,681.728,4.00,70.426,66.543
4,3,1,200,701.278,10.249,681.728,4.00,71.285,66.808
4,1,1,200,701.027,9.037,681.728,4.00,70.007,65.596
4,2,1,200,700.674,8.248,681.728,4.00,69.071,64.807
4,2,2,200,691.544,8.159,678.408,4.00,64.745,60.875
4,0,2,200,695.207,10.020,678.408,4.00,67.658,62.736
4,3,2,200,695.512,8.978,678.408,4.00,66.889,61.694
4,1,2,200,695.014,8.281,678.408,4.00,65.872,60.997
4,0,3,200,693.453,9.966,679.278,4.00,67.829,64.014
4,2,3,200,694.683,10.156,679.278,4.00,68.861,64.204
4,3,3,200,692.848,9.414,679.278,4.00,66.800,63.462
4,1,3,200,692.693,8.235,679.278,4.00,66.267,62.283
4,1,4,200,685.884,9.113,673.036,4.00,59.082,56.695
