idx,send_s,status,latency_ms,queue_wait_ms,batch_size,queue_depth_at_enqueue
0,0.0000,200,759.22,10.01,1.0,0.0
1,0.0509,200,1552.13,523.96,8.0,0.0
2,0.1011,200,1505.37,365.00,8.0,1.0
3,0.1512,200,1470.49,284.40,8.0,4.0
4,0.2012,200,1402.38,352.15,8.0,2.0
5,0.2511,200,1351.49,299.66,8.0,3.0
6,0.3004,200,1319.15,142.56,8.0,7.0
7,0.3502,200,1255.68,196.75,8.0,5.0
8,0.4011,200,1199.51,153.71,8.0,6.0
9,0.4509,200,1991.80,946.77,8.0,8.0
10,0.5001,200,1941.85,896.01,8.0,9.0
11,0.5511,200,1895.68,769.21,8.0,3.0
12,0.6009,200,1844.99,797.22,8.0,2.0
13,0.6508,200,1795.52,765.79,8.0,4.0
14,0.7008,200,1746.48,721.05,8.0,5.0
15,0.7511,200,1696.88,642.83,8.0,6.0
16,0.8012,200,1658.06,572.36,8.0,7.0
17,0.8508,200,2438.09,1406.78,8.0,8.0
18,0.9012,200,2389.10,1249.51,8.0,10.0
19,0.9512,200,2349.90,1168.66,8.0,12.0
20,1.0003,200,2289.09,1251.58,8.0,9.0
21,1.0512,200,2238.81,1207.53,8.0,11.0
22,1.1009,200,2185.07,1123.33,8.0,13.0
23,1.1508,200,2134.63,1083.10,8.0,14.0
24,1.2008,503,283.19,nan,nan,16.0
25,1.2509,200,2039.59,985.63,8.0,15.0
26,1.3011,503,302.70,nan,nan,16.0
27,1.3510,200,2787.89,1611.02,8.0,9.0
28,1.4008,200,2727.06,1590.25,8.0,10.0
29,1.4508,200,2674.13,1649.15,8.0,8.0
30,1.5011,503,86.25,nan,nan,16.0
31,1.5505,200,2570.40,1528.19,8.0,13.0
32,1.6007,200,2521.19,1571.66,8.0,11.0
33,1.6508,200,2473.58,1531.20,8.0,12.0
34,1.7011,200,2426.35,1490.71,8.0,14.0
35,1.7511,200,2374.36,1420.34,8.0,15.0
36,1.8002,503,110.52,nan,nan,16.0
37,1.8511,503,89.90,nan,nan,16.0
38,1.9012,503,90.11,nan,nan,16.0
39,1.9508,503,91.72,nan,nan,16.0
40,2.0011,503,90.54,nan,nan,16.0
41,2.0510,503,108.08,nan,nan,16.0
42,2.1013,503,193.38,nan,nan,16.0
43,2.1502,503,91.29,nan,nan,16.0
44,2.2012,503,87.41,nan,nan,16.0
45,2.2511,503,95.13,nan,nan,16.0
46,2.3008,503,92.07,nan,nan,16.0
47,2.3506,200,2612.80,1674.28,8.0,8.0
48,2.4008,200,2561.24,1607.57,8.0,9.0
49,2.4504,200,2527.89,1577.38,8.0,10.0
50,2.5012,200,2477.64,1527.53,8.0,11.0
51,2.5512,200,2411.61,1478.00,8.0,12.0
52,2.6011,200,2358.57,1424.00,8.0,13.0
53,2.6512,200,2312.87,1377.66,8.0,14.0
54,2.7012,200,2261.91,1328.66,8.0,15.0
55,2.7512,503,90.60,nan,nan,16.0
56,2.8012,503,107.58,nan,nan,16.0
57,2.8511,503,113.89,nan,nan,16.0
58,2.9012,503,92.26,nan,nan,16.0
59,2.9508,503,90.40,nan,nan,16.0
60,3.0009,503,90.45,nan,nan,16.0
61,3.0508,503,105.19,nan,nan,16.0
62,3.1008,503,90.98,nan,nan,16.0
63,3.1511,503,111.34,nan,nan,16.0
64,3.2011,200,2606.09,1668.65,8.0,8.0
65,3.2512,200,2555.64,1613.85,8.0,9.0
66,3.3012,200,2508.08,1565.91,8.0,10.0
67,3.3511,200,2457.32,1518.79,8.0,11.0
68,3.4012,200,2406.40,1467.47,8.0,12.0
69,3.4512,200,2356.73,1417.51,8.0,13.0
70,3.5012,200,2306.18,1362.48,8.0,14.0
71,3.5511,200,2254.29,1312.44,8.0,15.0
72,3.6012,503,116.07,nan,nan,16.0
73,3.6512,503,103.04,nan,nan,16.0
74,3.7012,503,192.46,nan,nan,16.0
75,3.7512,503,141.25,nan,nan,16.0
76,3.8007,503,155.34,nan,nan,16.0
77,3.8512,503,95.05,nan,nan,16.0
78,3.9010,503,196.78,nan,nan,16.0
79,3.9506,503,105.24,nan,nan,16.0
80,4.0011,503,98.54,nan,nan,16.0
81,4.0505,200,2601.05,1660.43,8.0,8.0
82,4.1001,200,2554.74,1613.11,8.0,9.0
83,4.1512,200,2504.66,1561.28,8.0,10.0
84,4.2012,200,2455.81,1511.95,8.0,11.0
85,4.2511,200,2415.91,1460.25,8.0,12.0
86,4.3011,200,2348.25,1411.79,8.0,13.0
87,4.3511,200,2304.19,1355.77,8.0,14.0
88,4.4011,200,2255.32,1310.55,8.0,15.0
89,4.4511,503,109.36,nan,nan,16.0
90,4.5011,503,122.02,nan,nan,16.0
91,4.5511,503,107.40,nan,nan,16.0
92,4.6011,503,107.25,nan,nan,16.0
93,4.6511,503,101.58,nan,nan,16.0
94,4.7011,503,105.02,nan,nan,16.0
95,4.7511,503,92.09,nan,nan,16.0
96,4.8011,503,94.87,nan,nan,16.0
97,4.8510,503,90.46,nan,nan,16.0
98,4.9006,200,2599.48,1654.08,8.0,8.0
99,4.9511,200,2559.83,1606.89,8.0,9.0
100,5.0011,200,2507.88,1555.13,8.0,10.0
101,5.0511,200,2445.25,1506.50,8.0,11.0
102,5.1012,200,2398.41,1454.01,8.0,12.0
103,5.1513,200,2340.92,1403.46,8.0,13.0
104,5.2008,200,2298.59,1352.68,8.0,14.0
105,5.2511,200,2248.07,1301.82,8.0,15.0
106,5.3012,503,91.61,nan,nan,16.0
107,5.3512,503,90.98,nan,nan,16.0
108,5.4003,503,93.14,nan,nan,16.0
109,5.4511,503,89.80,nan,nan,16.0
110,5.5010,503,91.96,nan,nan,16.0
111,5.5509,503,93.39,nan,nan,16.0
112,5.6010,503,112.07,nan,nan,16.0
113,5.6509,503,90.29,nan,nan,16.0
114,5.7012,200,2636.30,1678.54,8.0,8.0
115,5.7511,200,2592.19,1649.03,8.0,9.0
116,5.8011,200,2541.59,1601.11,8.0,10.0
117,5.8511,200,2493.29,1547.23,8.0,11.0
118,5.9011,200,2455.03,1498.88,8.0,12.0
119,5.9511,200,2389.91,1446.96,8.0,13.0
120,6.0011,200,2341.05,1397.66,8.0,14.0
121,6.0511,200,2290.43,1328.24,8.0,15.0
122,6.1012,503,90.63,nan,nan,16.0
123,6.1511,503,88.55,nan,nan,16.0
124,6.2011,503,91.97,nan,nan,16.0
125,6.2511,503,244.05,nan,nan,16.0
126,6.3010,503,89.83,nan,nan,16.0
127,6.3512,503,94.33,nan,nan,16.0
128,6.4011,503,88.24,nan,nan,16.0
129,6.4506,503,92.84,nan,nan,16.0
130,6.5007,503,91.14,nan,nan,16.0
131,6.5506,503,108.39,nan,nan,16.0
132,6.6011,200,2589.67,1644.21,8.0,8.0
133,6.6570,200,2531.87,1589.31,8.0,9.0
134,6.7012,200,2489.01,1543.80,8.0,10.0
135,6.7512,200,2448.07,1494.21,8.0,11.0
136,6.8012,200,2379.03,1444.34,8.0,12.0
137,6.8503,200,2336.46,1394.05,8.0,13.0
138,6.9011,200,2287.22,1331.71,8.0,14.0
