idx,send_s,status,latency_ms,queue_wait_ms,batch_size,queue_depth_at_enqueue
0,0.0002,200,572.55,10.66,1.0,0.0
1,0.0509,200,1366.00,517.23,8.0,0.0
2,0.1013,200,1311.12,467.05,8.0,1.0
3,0.1510,200,1261.17,417.39,8.0,2.0
4,0.2012,200,1213.81,367.47,8.0,3.0
5,0.2513,200,1164.14,317.71,8.0,4.0
6,0.3013,200,1114.46,266.67,8.0,5.0
7,0.3509,200,1065.20,216.35,8.0,6.0
8,0.4009,200,1015.56,167.11,8.0,7.0
9,0.4514,200,1805.82,953.87,8.0,8.0
10,0.5008,200,1756.08,904.92,8.0,9.0
11,0.5512,200,1706.55,856.62,8.0,10.0
12,0.6011,200,1656.34,807.40,8.0,3.0
13,0.6512,200,1606.87,755.89,8.0,4.0
14,0.7014,200,1557.09,703.44,8.0,5.0
15,0.7513,200,1507.65,654.22,8.0,6.0
16,0.8014,200,1458.41,604.09,8.0,7.0
17,0.8503,200,2246.09,1399.15,8.0,8.0
18,0.9007,200,2198.08,1348.35,8.0,9.0
19,0.9514,200,2144.60,1297.09,8.0,10.0
20,1.0014,200,2097.14,1246.62,8.0,11.0
21,1.0510,200,2048.16,1197.32,8.0,12.0
22,1.1013,200,1998.19,1147.01,8.0,13.0
23,1.1515,200,1948.48,1096.68,8.0,14.0
24,1.2008,200,1900.00,1048.37,8.0,15.0
25,1.2508,503,5.69,nan,nan,16.0
26,1.3014,503,4.10,nan,nan,16.0
27,1.3513,503,4.51,nan,nan,16.0
28,1.4013,503,4.28,nan,nan,16.0
29,1.4514,200,2489.90,1639.08,8.0,8.0
30,1.5014,200,2437.08,1588.65,8.0,9.0
31,1.5513,200,2386.96,1538.71,8.0,10.0
32,1.6008,200,2337.81,1489.30,8.0,11.0
33,1.6508,200,2288.99,1439.44,8.0,12.0
34,1.7012,200,2238.85,1389.65,8.0,13.0
35,1.7514,200,2189.02,1339.02,8.0,14.0
36,1.8009,200,2139.95,1289.40,8.0,15.0
37,1.8511,503,3.69,nan,nan,16.0
38,1.9015,503,3.72,nan,nan,16.0
39,1.9514,503,4.18,nan,nan,16.0
40,2.0007,503,3.80,nan,nan,16.0
41,2.0513,503,3.77,nan,nan,16.0
42,2.1015,503,3.90,nan,nan,16.0
43,2.1513,503,4.44,nan,nan,16.0
44,2.2014,503,3.68,nan,nan,16.0
45,2.2514,200,2535.60,1682.77,8.0,8.0
46,2.3007,200,2484.40,1633.28,8.0,9.0
47,2.3515,200,2434.02,1582.30,8.0,10.0
48,2.4002,200,2381.98,1534.37,8.0,11.0
49,2.4514,200,2331.08,1482.44,8.0,12.0
50,2.5014,200,2284.42,1432.50,8.0,13.0
51,2.5507,200,2235.46,1382.48,8.0,14.0
52,2.6014,200,2185.21,1332.59,8.0,15.0
53,2.6513,503,3.57,nan,nan,16.0
54,2.7014,503,3.94,nan,nan,16.0
55,2.7509,503,3.75,nan,nan,16.0
56,2.8008,503,3.80,nan,nan,16.0
57,2.8513,503,4.42,nan,nan,16.0
58,2.9014,503,4.23,nan,nan,16.0
59,2.9504,503,3.75,nan,nan,16.0
60,3.0008,503,3.55,nan,nan,16.0
61,3.0513,503,4.45,nan,nan,16.0
62,3.1010,200,2525.58,1676.71,8.0,8.0
63,3.1512,200,2477.63,1625.55,8.0,9.0
64,3.2013,200,2428.25,1575.01,8.0,10.0
65,3.2508,200,2375.49,1525.88,8.0,11.0
66,3.3013,200,2327.95,1475.01,8.0,12.0
67,3.3513,200,2278.60,1424.68,8.0,13.0
68,3.4013,200,2228.99,1375.13,8.0,14.0
69,3.4513,200,2179.35,1325.23,8.0,15.0
70,3.5013,503,3.82,nan,nan,16.0
71,3.5506,503,3.91,nan,nan,16.0
72,3.6008,503,3.69,nan,nan,16.0
73,3.6513,503,3.76,nan,nan,16.0
74,3.7006,503,4.06,nan,nan,16.0
75,3.7514,503,4.03,nan,nan,16.0
76,3.8013,503,4.27,nan,nan,16.0
77,3.8512,503,3.49,nan,nan,16.0
78,3.9007,503,3.74,nan,nan,16.0
79,3.9512,200,2523.91,1670.51,8.0,8.0
80,4.0012,200,2469.36,1620.53,8.0,9.0
81,4.0511,200,2419.12,1570.71,8.0,10.0
82,4.1012,200,2371.44,1519.95,8.0,11.0
83,4.1508,200,2322.17,1469.06,8.0,12.0
84,4.2007,200,2272.55,1419.65,8.0,13.0
85,4.2512,200,2222.71,1369.80,8.0,14.0
86,4.3013,200,2173.25,1319.64,8.0,15.0
87,4.3509,503,4.40,nan,nan,16.0
