idx,send_s,status,latency_ms,queue_wait_ms,batch_size,queue_depth_at_enqueue
0,0.0001,200,572.94,10.02,1.0,0.0
1,0.0512,200,1365.38,516.77,8.0,0.0
2,0.1014,200,1313.21,467.14,8.0,1.0
3,0.1513,200,1260.74,416.86,8.0,2.0
4,0.2013,200,1213.56,366.88,8.0,3.0
5,0.2514,200,1163.74,316.70,8.0,4.0
6,0.3013,200,1114.12,266.56,8.0,5.0
7,0.3514,200,1064.41,216.95,8.0,6.0
8,0.4013,200,1014.86,166.70,8.0,7.0
9,0.4513,200,1805.58,955.20,8.0,8.0
10,0.5014,200,1752.41,904.29,8.0,9.0
11,0.5513,200,1706.15,854.56,8.0,10.0
12,0.6011,200,1656.61,806.47,8.0,3.0
13,0.6512,200,1605.94,756.13,8.0,4.0
14,0.7012,200,1556.92,705.40,8.0,5.0
15,0.7511,200,1507.32,655.87,8.0,6.0
16,0.8007,200,1458.12,605.68,8.0,7.0
17,0.8513,200,2244.72,1397.05,8.0,8.0
18,0.9013,200,2197.82,1348.00,8.0,9.0
19,0.9512,200,2144.54,1298.30,8.0,10.0
20,1.0008,200,2097.93,1247.12,8.0,11.0
21,1.0513,200,2048.10,1197.50,8.0,12.0
22,1.1008,200,1998.98,1147.19,8.0,13.0
23,1.1513,200,1948.91,1097.11,8.0,14.0
24,1.2013,200,1899.30,1046.89,8.0,15.0
25,1.2514,200,2695.29,1838.02,8.0,16.0
26,1.3013,200,2643.88,1788.31,8.0,17.0
27,1.3513,200,2591.22,1738.18,8.0,18.0
28,1.4013,200,2541.69,1688.10,8.0,19.0
29,1.4508,200,2496.24,1639.05,8.0,12.0
30,1.5009,200,2444.66,1589.09,8.0,13.0
31,1.5508,200,2395.06,1539.07,8.0,14.0
32,1.6008,200,2345.47,1489.19,8.0,15.0
33,1.6507,200,3137.72,2287.15,8.0,16.0
34,1.7008,200,3091.15,2236.28,8.0,17.0
35,1.7508,200,3041.90,2186.73,8.0,18.0
36,1.8014,200,2987.40,2135.64,8.0,19.0
37,1.8513,200,2941.08,2085.22,8.0,20.0
38,1.9013,200,2891.88,2035.12,8.0,21.0
39,1.9514,200,2842.30,1984.96,8.0,22.0
40,2.0008,200,2793.67,1936.21,8.0,23.0
41,2.0511,200,3578.07,2729.40,8.0,24.0
42,2.1008,200,3531.07,2679.30,8.0,25.0
43,2.1513,200,3477.57,2629.31,8.0,26.0
44,2.2013,200,3430.25,2579.36,8.0,27.0
45,2.2514,200,3382.81,2524.37,8.0,20.0
46,2.3013,200,3331.03,2480.49,8.0,21.0
47,2.3513,200,3281.38,2430.28,8.0,22.0
48,2.4014,200,3231.82,2380.16,8.0,23.0
49,2.4508,200,4024.89,3171.75,8.0,24.0
50,2.5013,200,3978.38,3121.67,8.0,25.0
51,2.5508,200,3925.30,3071.55,8.0,26.0
52,2.6007,200,3878.35,3022.37,8.0,27.0
53,2.6514,200,3828.78,2971.62,8.0,28.0
54,2.7008,200,3779.88,2920.25,8.0,29.0
55,2.7508,200,3730.42,2871.06,8.0,30.0
56,2.8003,200,3681.51,2821.85,8.0,31.0
57,2.8508,200,4469.28,3617.63,8.0,32.0
58,2.9013,200,4421.35,3567.68,8.0,33.0
59,2.9513,200,4368.38,3517.94,8.0,34.0
60,3.0013,200,4320.90,3467.22,8.0,35.0
61,3.0509,200,4272.13,3417.66,8.0,36.0
62,3.1008,200,4222.69,3369.97,8.0,29.0
63,3.1507,200,4173.19,3318.98,8.0,30.0
64,3.2008,200,4123.69,3269.01,8.0,31.0
65,3.2513,200,4920.11,4063.29,8.0,32.0
66,3.3008,200,4872.58,4013.69,8.0,33.0
67,3.3513,200,4820.99,3963.47,8.0,34.0
68,3.4008,200,4771.07,3913.99,8.0,35.0
69,3.4507,200,4723.33,3864.26,8.0,36.0
70,3.5008,200,4673.97,3813.04,8.0,37.0
71,3.5514,200,4617.22,3761.93,8.0,38.0
