tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
paid,0.0002,200,611.79,10.51,0,0.0
free,0.0007,200,611.49,10.37,0,0.0
paid,0.0728,200,1377.39,534.15,0,0.0
paid,0.1441,200,1306.52,462.98,0,1.0
paid,0.2156,200,1231.98,389.95,0,2.0
free,0.2510,200,2880.01,2034.11,1,3.0
paid,0.2869,200,1164.48,320.51,0,4.0
paid,0.3583,200,1092.66,248.87,0,5.0
paid,0.4298,200,1021.99,177.35,0,6.0
free,0.5005,200,3477.58,2621.30,1,7.0
paid,0.5017,200,946.12,104.69,0,8.0
paid,0.5726,200,879.56,34.80,0,9.0
paid,0.6440,200,1646.28,799.67,0,2.0
paid,0.7154,200,1577.37,727.24,0,3.0
free,0.7512,200,3227.91,2372.60,1,4.0
paid,0.7869,200,1507.23,654.45,0,5.0
paid,0.8576,200,1436.21,584.28,0,6.0
paid,0.9298,200,1360.79,511.17,0,7.0
free,1.0012,200,2971.55,2120.63,1,8.0
paid,1.0024,200,1292.26,439.06,0,9.0
paid,1.0721,200,1221.06,369.84,0,10.0
paid,1.1433,200,1150.17,299.30,0,11.0
paid,1.2154,200,1913.14,1070.11,0,12.0
free,1.2512,200,3562.81,2716.03,1,13.0
paid,1.2869,200,1841.37,998.04,0,14.0
paid,1.3583,200,1770.51,926.34,0,15.0
paid,1.4299,503,5.18,nan,0,16.0
free,1.5007,200,3316.78,2464.79,1,8.0
paid,1.5027,200,1628.82,782.47,0,9.0
paid,1.5726,200,1558.09,712.84,0,10.0
paid,1.6441,200,1487.89,641.48,0,11.0
paid,1.7154,200,1417.00,569.93,0,12.0
free,1.7513,200,3065.29,2215.73,1,13.0
paid,1.7869,200,2189.37,1337.18,0,14.0
paid,1.8577,200,2120.81,1265.66,0,15.0
paid,1.9298,503,3.64,nan,0,16.0
paid,2.0014,503,3.03,nan,0,16.0
free,2.0022,503,3.21,nan,0,16.0
paid,2.0725,503,2.20,nan,0,16.0
paid,2.1441,503,3.59,nan,0,16.0
paid,2.2150,503,2.94,nan,0,16.0
free,2.2512,503,3.23,nan,0,16.0
