tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
paid,0.0001,200,611.70,10.49,0,0.0
free,0.0008,200,611.78,10.40,0,1.0
paid,0.0726,200,1380.97,534.36,0,0.0
paid,0.1440,200,1309.87,463.28,0,1.0
paid,0.2155,200,1235.48,390.75,0,2.0
free,0.2511,200,2886.13,2038.28,1,3.0
paid,0.2866,200,1167.62,321.34,0,4.0
paid,0.3583,200,1096.22,248.92,0,5.0
paid,0.4298,200,1025.09,176.98,0,6.0
free,0.5013,200,3481.56,2625.27,1,7.0
paid,0.5023,200,948.92,104.42,0,8.0
paid,0.5719,200,883.30,35.59,0,9.0
paid,0.6432,200,1653.01,803.22,0,2.0
paid,0.7153,200,1581.19,729.72,0,3.0
free,0.7511,200,3232.53,2377.15,1,4.0
paid,0.7868,200,1511.70,659.02,0,5.0
paid,0.8583,200,1439.25,586.99,0,6.0
paid,0.9293,200,1364.73,516.49,0,7.0
paid,1.0012,200,1295.57,442.66,0,8.0
free,1.0023,503,4.43,nan,0,9.0
paid,1.0719,200,1227.04,374.63,0,9.0
paid,1.1440,200,1153.16,301.50,0,10.0
paid,1.2155,200,1920.37,1073.44,0,11.0
free,1.2511,503,3.54,nan,0,12.0
paid,1.2867,200,1849.84,1003.54,0,12.0
paid,1.3583,200,1774.89,930.84,0,13.0
paid,1.4297,200,1706.44,859.16,0,14.0
free,1.5013,200,3323.04,2471.19,1,7.0
paid,1.5025,200,1635.19,786.59,0,8.0
paid,1.5719,200,1564.92,717.85,0,9.0
paid,1.6439,200,1494.35,646.01,0,10.0
paid,1.7150,200,2268.22,1414.08,0,11.0
free,1.7511,503,3.06,nan,0,12.0
paid,1.7868,200,2195.64,1342.58,0,12.0
paid,1.8583,200,2121.03,1270.50,0,13.0
paid,1.9298,200,2054.48,1198.57,0,14.0
free,2.0012,503,6.34,nan,0,15.0
paid,2.0023,200,1977.48,1124.22,0,15.0
paid,2.0726,503,3.13,nan,0,16.0
paid,2.1440,503,3.01,nan,0,16.0
paid,2.2154,503,2.73,nan,0,16.0
free,2.2510,503,2.60,nan,0,16.0
paid,2.2868,503,2.56,nan,0,16.0
paid,2.3583,200,1623.87,770.51,0,8.0
paid,2.4297,200,2391.58,1544.64,0,9.0
paid,2.5012,200,2323.84,1471.33,0,10.0
free,2.5026,503,3.90,nan,0,11.0
paid,2.5725,200,2252.15,1401.29,0,11.0
paid,2.6440,200,2176.92,1330.34,0,12.0
paid,2.7154,200,2108.17,1259.13,0,13.0
free,2.7511,503,2.91,nan,0,14.0
paid,2.7868,200,2038.64,1187.61,0,14.0
paid,2.8576,200,1966.32,1116.66,0,15.0
paid,2.9297,503,3.41,nan,0,16.0
free,3.0005,503,4.34,nan,0,16.0
paid,3.0016,503,5.22,nan,0,16.0
paid,3.0719,503,3.08,nan,0,16.0
paid,3.1436,200,2522.40,1673.02,0,8.0
paid,3.2155,200,2446.74,1600.50,0,9.0
free,3.2511,503,3.30,nan,0,10.0
paid,3.2868,200,2379.98,1529.49,0,10.0
paid,3.3583,200,2308.09,1457.57,0,11.0
paid,3.4297,200,2232.82,1386.07,0,12.0
free,3.5012,503,4.90,nan,0,13.0
paid,3.5026,200,2162.34,1312.77,0,13.0
paid,3.5726,200,2092.66,1243.53,0,14.0
paid,3.6440,200,2021.63,1171.68,0,15.0
paid,3.7154,503,3.08,nan,0,16.0
free,3.7503,503,3.01,nan,0,16.0
paid,3.7868,503,2.54,nan,0,16.0
paid,3.8583,503,3.17,nan,0,16.0
paid,3.9297,503,2.80,nan,0,16.0
paid,4.0012,200,2505.21,1655.48,0,8.0
free,4.0021,503,3.26,nan,0,9.0
paid,4.0726,200,2437.60,1584.25,0,9.0
paid,4.1435,200,2365.82,1513.54,0,10.0
paid,4.2151,200,2294.81,1442.45,0,11.0
free,4.2511,503,3.62,nan,0,12.0
paid,4.2868,200,2221.68,1370.81,0,12.0
paid,4.3583,200,2152.88,1299.09,0,13.0
paid,4.4297,200,2081.83,1227.63,0,14.0
free,4.5018,503,4.35,nan,0,15.0
paid,4.5032,200,2005.57,1153.99,0,15.0
paid,4.5722,503,2.92,nan,0,16.0
paid,4.6440,503,3.06,nan,0,16.0
paid,4.7145,503,3.56,nan,0,16.0
free,4.7511,503,2.64,nan,0,16.0
paid,4.7868,503,2.60,nan,0,16.0
paid,4.8583,200,2492.53,1643.41,0,8.0
paid,4.9289,200,2426.20,1572.84,0,9.0
free,5.0013,503,5.43,nan,0,10.0
paid,5.0029,200,2351.44,1498.09,0,10.0
paid,5.0726,200,2282.14,1429.41,0,11.0
paid,5.1436,200,2207.57,1358.06,0,12.0
paid,5.2147,200,2138.94,1287.14,0,13.0
free,5.2510,503,3.56,nan,0,14.0
paid,5.2868,200,2068.69,1215.44,0,14.0
paid,5.3583,200,1995.66,1143.31,0,15.0
paid,5.4297,503,3.29,nan,0,16.0
paid,5.5012,503,4.51,nan,0,16.0
free,5.5024,503,4.06,nan,0,16.0
paid,5.5720,503,3.31,nan,0,16.0
paid,5.6440,503,2.76,nan,0,16.0
paid,5.7154,200,2485.21,1630.33,0,8.0
free,5.7511,503,3.33,nan,0,9.0
paid,5.7868,200,2410.09,1559.02,0,9.0
paid,5.8583,200,2343.08,1487.04,0,10.0
paid,5.9298,200,2271.16,1415.27,0,11.0
free,6.0014,503,5.57,nan,0,12.0
paid,6.0033,200,2193.96,1341.53,0,12.0
paid,6.0726,200,2126.95,1273.00,0,13.0
paid,6.1440,200,2055.84,1201.45,0,14.0
paid,6.2146,200,1985.61,1130.47,0,15.0
free,6.2508,503,2.97,nan,0,16.0
paid,6.2868,503,3.01,nan,0,16.0
paid,6.3583,503,3.27,nan,0,16.0
paid,6.4289,503,3.58,nan,0,16.0
free,6.5012,503,7.82,nan,0,8.0
paid,6.5023,200,2539.87,1688.31,0,8.0
paid,6.5723,200,2470.20,1619.69,0,9.0
paid,6.6440,200,2401.90,1548.10,0,10.0
paid,6.7154,200,2329.73,1476.82,0,11.0
free,6.7511,503,3.00,nan,0,12.0
paid,6.7869,200,2258.64,1405.34,0,12.0
paid,6.8582,200,2186.58,1333.81,0,13.0
paid,6.9297,200,2116.59,1262.73,0,14.0
paid,7.0012,200,2045.50,1189.07,0,15.0
free,7.0025,503,3.94,nan,0,16.0
paid,7.0725,503,3.09,nan,0,16.0
paid,7.1440,503,3.75,nan,0,16.0
paid,7.2145,503,2.87,nan,0,16.0
free,7.2511,503,2.92,nan,0,16.0
paid,7.2868,503,2.66,nan,0,16.0
paid,7.3574,200,2528.29,1680.67,0,8.0
paid,7.4294,200,2460.42,1607.82,0,9.0
free,7.5012,503,5.17,nan,0,10.0
paid,7.5026,200,2386.48,1533.71,0,10.0
paid,7.5726,200,2316.86,1464.65,0,11.0
paid,7.6440,200,2242.06,1393.40,0,12.0
paid,7.7154,200,2172.94,1321.96,0,13.0
free,7.7510,503,2.63,nan,0,14.0
paid,7.7868,200,2103.42,1250.95,0,14.0
paid,7.8583,200,2030.41,1177.77,0,15.0
paid,7.9297,503,3.32,nan,0,16.0
free,8.0009,503,4.41,nan,0,16.0
paid,8.0022,503,3.77,nan,0,16.0
paid,8.0726,503,3.77,nan,0,16.0
paid,8.1440,503,3.11,nan,0,16.0
paid,8.2154,200,2517.29,1666.26,0,8.0
free,8.2508,503,3.17,nan,0,9.0
paid,8.2865,200,2442.54,1594.81,0,9.0
paid,8.3583,200,2375.50,1522.92,0,10.0
paid,8.4297,200,2303.34,1451.18,0,11.0
free,8.5010,503,4.50,nan,0,12.0
paid,8.5024,200,2228.85,1378.25,0,12.0
paid,8.5716,200,2159.92,1309.75,0,13.0
paid,8.6440,200,2087.92,1237.37,0,14.0
paid,8.7154,200,2016.83,1165.45,0,15.0
free,8.7510,503,2.81,nan,0,16.0
paid,8.7869,503,2.98,nan,0,16.0
paid,8.8577,503,2.71,nan,0,16.0
paid,8.9287,503,2.63,nan,0,16.0
paid,9.0012,503,4.36,nan,0,16.0
free,9.0024,503,3.85,nan,0,16.0
paid,9.0726,200,2504.73,1652.36,0,8.0
paid,9.1441,200,2436.15,1580.56,0,9.0
paid,9.2146,200,2363.61,1510.31,0,10.0
free,9.2511,503,3.50,nan,0,11.0
paid,9.2868,200,2292.96,1438.33,0,11.0
paid,9.3583,200,2219.30,1366.78,0,12.0
paid,9.4298,200,2150.87,1295.25,0,13.0
free,9.5013,503,5.47,nan,0,14.0
paid,9.5026,200,2075.31,1221.01,0,14.0
paid,9.5717,200,2009.53,1153.51,0,15.0
paid,9.6440,503,3.02,nan,0,16.0
paid,9.7154,503,2.87,nan,0,16.0
free,9.7511,503,3.15,nan,0,16.0
paid,9.7868,503,2.53,nan,0,16.0
paid,9.8583,503,3.04,nan,0,16.0
paid,9.9297,200,2488.60,1641.70,0,8.0
paid,10.0013,200,2421.20,1568.31,0,9.0
free,10.0029,503,3.83,nan,0,10.0
paid,10.0724,200,2349.62,1499.12,0,10.0
paid,10.1440,200,2277.62,1427.61,0,11.0
paid,10.2154,200,2203.23,1356.36,0,12.0
free,10.2508,503,3.36,nan,0,13.0
paid,10.2868,200,2134.11,1285.08,0,13.0
paid,10.3583,200,2064.60,1213.53,0,14.0
paid,10.4290,200,1992.27,1142.23,0,15.0
paid,10.5003,503,4.16,nan,0,16.0
free,10.5015,503,3.57,nan,0,16.0
paid,10.5726,503,3.00,nan,0,16.0
paid,10.6440,503,2.61,nan,0,16.0
paid,10.7150,503,2.63,nan,0,16.0
free,10.7502,503,2.93,nan,0,8.0
paid,10.7869,200,2471.92,1626.32,0,8.0
paid,10.8583,200,2399.12,1554.77,0,9.0
paid,10.9298,200,2330.53,1483.33,0,10.0
free,11.0013,503,5.33,nan,0,11.0
paid,11.0029,200,2252.40,1409.62,0,11.0
paid,11.0726,200,2186.81,1340.55,0,12.0
paid,11.1440,200,2113.68,1269.23,0,13.0
paid,11.2154,200,2042.60,1198.27,0,14.0
free,11.2511,503,3.86,nan,0,15.0
paid,11.2868,200,1971.54,1126.80,0,15.0
paid,11.3583,503,2.85,nan,0,16.0
paid,11.4297,503,3.09,nan,0,16.0
paid,11.5012,503,5.13,nan,0,16.0
free,11.5024,503,4.64,nan,0,16.0
paid,11.5727,200,2520.50,1678.06,0,8.0
paid,11.6441,200,2449.44,1607.19,0,9.0
paid,11.7155,200,2381.61,1536.03,0,10.0
free,11.7511,503,3.68,nan,0,11.0
paid,11.7868,200,2309.52,1464.97,0,11.0
paid,11.8583,200,2238.44,1393.32,0,12.0
paid,11.9297,200,2166.30,1321.98,0,13.0
paid,12.0013,200,2096.22,1248.86,0,14.0
free,12.0026,503,3.66,nan,0,15.0
paid,12.0726,200,2025.30,1179.26,0,15.0
paid,12.1440,503,3.75,nan,0,16.0
paid,12.2145,503,2.76,nan,0,16.0
free,12.2511,503,2.91,nan,0,16.0
paid,12.2869,503,2.82,nan,0,16.0
paid,12.3583,503,2.65,nan,0,16.0
paid,12.4294,200,2504.59,1659.36,0,8.0
paid,12.5005,200,2435.38,1585.86,0,9.0
free,12.5020,503,3.69,nan,0,10.0
paid,12.5726,200,2362.93,1515.66,0,10.0
paid,12.6439,200,2291.28,1444.32,0,11.0
paid,12.7154,200,2218.82,1372.93,0,12.0
free,12.7511,503,3.30,nan,0,13.0
paid,12.7868,200,2147.69,1301.68,0,13.0
paid,12.8583,200,2077.95,1230.02,0,14.0
paid,12.9297,200,2005.10,1158.04,0,15.0
free,13.0007,503,4.53,nan,0,16.0
paid,13.0019,503,4.03,nan,0,16.0
paid,13.0719,503,3.13,nan,0,16.0
paid,13.1440,503,3.83,nan,0,16.0
paid,13.2155,503,3.04,nan,0,16.0
free,13.2511,503,2.74,nan,0,16.0
paid,13.2868,200,2488.08,1641.07,0,8.0
paid,13.3583,200,2413.21,1568.26,0,9.0
paid,13.4298,200,2346.21,1496.88,0,10.0
free,13.5013,503,4.90,nan,0,11.0
paid,13.5027,200,2268.48,1423.55,0,11.0
paid,13.5726,200,2202.74,1354.42,0,12.0
paid,13.6440,200,2129.86,1283.21,0,13.0
paid,13.7154,200,2058.76,1211.89,0,14.0
free,13.7512,503,3.87,nan,0,15.0
paid,13.7869,200,1987.67,1140.35,0,15.0
paid,13.8583,503,2.92,nan,0,16.0
paid,13.9294,503,2.87,nan,0,16.0
paid,14.0005,503,4.04,nan,0,16.0
free,14.0016,503,3.70,nan,0,16.0
paid,14.0726,503,3.12,nan,0,16.0
paid,14.1440,200,2472.50,1622.46,0,8.0
paid,14.2148,200,2405.45,1551.79,0,9.0
free,14.2510,503,3.65,nan,0,10.0
paid,14.2868,200,2332.69,1479.88,0,10.0
paid,14.3583,200,2261.59,1408.37,0,11.0
paid,14.4297,200,2187.17,1337.09,0,12.0
paid,14.5013,200,2119.34,1263.96,0,13.0
free,14.5026,503,3.38,nan,0,14.0
paid,14.5718,200,2049.25,1195.30,0,14.0
paid,14.6441,200,1975.11,1122.27,0,15.0
paid,14.7155,503,3.61,nan,0,16.0
free,14.7512,503,2.78,nan,0,16.0
paid,14.7869,503,3.85,nan,0,16.0
