tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
paid,0.0002,200,611.20,10.63,0,0.0
free,0.0007,200,610.91,10.50,0,0.0
paid,0.1012,200,1268.59,505.35,0,0.0
paid,0.2012,200,1166.46,406.01,0,1.0
paid,0.3011,200,1068.98,303.50,0,2.0
paid,0.4012,200,969.43,205.07,0,3.0
paid,0.5012,200,869.16,104.94,0,4.0
paid,0.6012,200,769.69,4.98,0,5.0
paid,0.7005,200,1513.62,662.08,0,0.0
paid,0.8011,200,1410.65,560.84,0,1.0
paid,0.9013,200,1313.26,459.73,0,2.0
free,1.0010,200,1214.54,358.25,0,3.0
paid,1.0020,200,1209.42,357.56,0,4.0
paid,1.1012,200,1113.55,260.83,0,5.0
paid,1.2011,200,1013.93,158.56,0,6.0
paid,1.3012,200,914.07,59.90,0,7.0
paid,1.4012,200,1652.45,804.82,0,0.0
paid,1.5014,200,1550.10,704.25,0,1.0
paid,1.6013,200,1452.66,604.78,0,2.0
paid,1.7006,200,1353.92,505.30,0,3.0
paid,1.8013,200,1252.96,404.72,0,4.0
paid,1.9013,200,1153.64,304.58,0,5.0
free,2.0011,200,9497.38,8642.82,0,6.0
paid,2.0015,200,1053.96,205.40,0,7.0
paid,2.1013,200,949.92,104.27,0,8.0
paid,2.2006,200,1698.19,843.89,0,9.0
paid,2.3005,200,1598.74,744.70,0,2.0
paid,2.4007,200,1495.10,644.00,0,3.0
paid,2.5012,200,1398.28,543.94,0,4.0
paid,2.6006,200,1299.25,445.70,0,5.0
paid,2.7012,200,1194.89,344.36,0,6.0
paid,2.8012,200,1098.97,244.77,0,7.0
paid,2.9011,200,999.36,144.25,0,8.0
free,3.0013,200,9340.69,8485.68,0,9.0
paid,3.0025,200,1734.13,886.00,0,10.0
paid,3.1012,200,1638.33,789.08,0,3.0
paid,3.2012,200,1535.69,688.96,0,4.0
paid,3.3012,200,1438.09,589.03,0,5.0
paid,3.4012,200,1338.68,489.36,0,6.0
paid,3.5011,200,1239.35,390.18,0,7.0
paid,3.6012,200,1139.71,289.47,0,8.0
paid,3.7012,200,1040.02,189.49,0,9.0
paid,3.8005,200,1777.28,930.72,0,10.0
paid,3.9006,200,1680.33,831.49,0,3.0
paid,4.0014,200,1579.25,728.44,0,4.0
free,4.0027,200,9177.89,8329.63,0,5.0
paid,4.1012,200,1479.98,630.16,0,6.0
paid,4.2012,200,1379.19,530.13,0,7.0
paid,4.3007,200,1280.74,429.97,0,8.0
paid,4.4012,200,1180.55,330.03,0,9.0
paid,4.5003,200,1081.85,230.70,0,10.0
paid,4.6012,200,1824.55,969.76,0,11.0
paid,4.7012,200,1721.47,871.00,0,12.0
paid,4.8003,200,1625.72,772.46,0,5.0
paid,4.9012,200,1524.28,671.49,0,6.0
free,5.0012,200,9015.71,8167.83,0,7.0
paid,5.0028,200,1423.54,569.78,0,8.0
paid,5.1011,200,1325.49,472.67,0,9.0
paid,5.2012,200,1225.76,371.97,0,10.0
paid,5.3012,200,1126.09,272.36,0,11.0
paid,5.4012,200,1865.52,1016.72,0,12.0
paid,5.5012,200,1768.14,914.90,0,13.0
paid,5.6012,200,1669.20,816.88,0,6.0
paid,5.7009,200,1566.12,717.57,0,7.0
paid,5.8012,200,1469.50,616.34,0,8.0
paid,5.9012,200,1368.46,515.95,0,9.0
free,6.0012,200,10542.51,9685.25,0,10.0
paid,6.0024,200,1268.70,415.04,0,11.0
paid,6.1013,200,1168.69,315.64,0,12.0
paid,6.2013,200,1914.23,1059.58,0,13.0
paid,6.3013,200,1811.73,958.60,0,14.0
paid,6.4012,200,1711.42,858.80,0,15.0
paid,6.5012,200,1614.58,759.74,0,8.0
paid,6.6013,200,1513.92,659.68,0,9.0
paid,6.7012,200,1414.89,560.00,0,10.0
paid,6.8013,200,1315.24,459.63,0,11.0
paid,6.9013,200,1215.54,359.29,0,12.0
free,7.0009,200,10380.82,9531.21,0,13.0
paid,7.0021,200,1960.18,1105.79,0,14.0
paid,7.1007,200,1858.84,1007.52,0,15.0
