tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
paid,0.0001,200,612.23,10.52,0,0.0
free,0.0009,200,611.78,10.43,0,1.0
paid,0.1008,200,1266.38,506.12,0,0.0
paid,0.2012,200,1167.41,405.31,0,1.0
paid,0.3012,200,1065.69,304.07,0,2.0
paid,0.4011,200,968.03,205.58,0,3.0
paid,0.5012,200,867.69,105.75,0,4.0
paid,0.6012,200,768.25,5.56,0,5.0
paid,0.7012,200,1508.17,660.57,0,0.0
paid,0.8012,200,1411.00,560.37,0,1.0
paid,0.9012,200,1311.54,459.74,0,2.0
free,1.0012,200,1212.66,357.80,0,3.0
paid,1.0023,200,1209.68,357.65,0,4.0
paid,1.1012,200,1111.21,259.57,0,5.0
paid,1.2012,200,1011.74,157.70,0,6.0
paid,1.3013,200,912.30,59.06,0,7.0
paid,1.4012,200,1651.16,804.15,0,0.0
paid,1.5012,200,1551.42,704.36,0,1.0
paid,1.6012,200,1448.37,603.56,0,2.0
paid,1.7012,200,1351.98,504.05,0,3.0
paid,1.8012,200,1251.69,404.43,0,4.0
paid,1.9012,200,1152.31,303.59,0,5.0
paid,2.0013,200,1048.60,201.62,0,6.0
free,2.0024,200,3579.82,2728.33,1,7.0
paid,2.1012,200,950.91,103.30,0,8.0
paid,2.2012,200,1693.90,842.63,0,9.0
paid,2.3012,200,1594.13,742.99,0,2.0
paid,2.4007,200,1496.78,643.14,0,3.0
paid,2.5012,200,1397.10,543.15,0,4.0
paid,2.6012,200,1296.86,443.58,0,5.0
paid,2.7006,200,1197.18,343.97,0,6.0
paid,2.8013,200,1097.36,242.97,0,7.0
paid,2.9012,200,997.77,143.35,0,8.0
free,3.0012,200,3425.10,2573.28,1,9.0
paid,3.0016,200,1735.55,888.30,0,10.0
paid,3.1012,200,1639.31,789.06,0,3.0
paid,3.2012,200,1538.69,688.83,0,4.0
paid,3.3012,200,1436.25,588.30,0,5.0
paid,3.4012,200,1338.98,488.39,0,6.0
paid,3.5011,200,1239.70,388.26,0,7.0
paid,3.6012,200,1139.99,288.37,0,8.0
paid,3.7012,200,1038.43,188.25,0,9.0
paid,3.8009,200,1778.20,931.00,0,10.0
paid,3.9003,200,1679.13,832.66,0,3.0
free,4.0005,200,3267.14,2416.42,1,4.0
paid,4.0020,200,1580.82,729.98,0,5.0
paid,4.1013,200,1481.21,630.19,0,6.0
paid,4.2012,200,1380.79,531.02,0,7.0
paid,4.3012,200,1281.94,430.65,0,8.0
paid,4.4003,200,1183.40,331.77,0,9.0
paid,4.5007,200,1923.03,1073.30,0,10.0
paid,4.6011,200,1822.31,971.68,0,11.0
paid,4.7013,200,1725.28,871.27,0,12.0
paid,4.8012,200,1625.63,772.19,0,5.0
paid,4.9012,200,1525.99,672.44,0,6.0
paid,5.0012,200,1424.80,571.58,0,7.0
free,5.0024,200,3112.17,2259.61,1,8.0
paid,5.1011,200,1326.40,471.92,0,9.0
paid,5.2013,200,2070.60,1216.92,0,10.0
paid,5.3012,200,1969.20,1116.75,0,11.0
paid,5.4007,200,1867.21,1018.11,0,12.0
paid,5.5003,200,1771.08,917.26,0,13.0
paid,5.6012,200,1669.74,817.60,0,6.0
paid,5.7012,200,1571.09,717.13,0,7.0
paid,5.8012,200,1471.53,616.88,0,8.0
paid,5.9013,200,2212.74,1360.25,0,9.0
free,6.0014,200,2960.20,2104.37,1,10.0
paid,6.0030,200,2112.54,1258.53,0,11.0
paid,6.1012,200,2013.68,1160.71,0,12.0
paid,6.2012,200,1910.41,1061.10,0,13.0
paid,6.3012,200,1813.06,959.36,0,14.0
paid,6.4012,200,1714.68,859.82,0,15.0
paid,6.5013,200,1614.91,760.41,0,8.0
paid,6.6012,200,2360.71,1505.82,0,9.0
paid,6.7012,200,2257.26,1406.41,0,10.0
paid,6.8012,200,2161.32,1306.23,0,11.0
paid,6.9012,200,2061.73,1206.68,0,12.0
paid,7.0012,200,1957.56,1105.37,0,13.0
free,7.0023,200,3647.41,2797.70,1,14.0
paid,7.1012,200,1861.98,1006.33,0,15.0
paid,7.2012,503,5.31,nan,0,16.0
paid,7.3012,200,1660.15,806.23,0,8.0
paid,7.4012,200,2403.68,1552.13,0,9.0
paid,7.5011,200,2307.69,1452.27,0,10.0
paid,7.6012,200,2207.30,1351.66,0,11.0
paid,7.7012,200,2107.03,1251.98,0,12.0
paid,7.8012,200,2006.47,1152.14,0,13.0
paid,7.9012,200,1906.75,1051.96,0,14.0
free,8.0012,200,3497.53,2640.24,1,15.0
paid,8.0022,503,4.23,nan,0,16.0
paid,8.1006,503,4.41,nan,0,16.0
paid,8.2012,200,1608.11,751.91,0,8.0
paid,8.3013,200,1508.81,651.58,0,9.0
paid,8.4010,200,2249.04,1399.04,0,10.0
paid,8.5012,200,2149.72,1299.48,0,11.0
paid,8.6013,200,2049.31,1198.49,0,12.0
paid,8.7012,200,1946.11,1099.08,0,13.0
paid,8.8012,200,1849.03,998.65,0,14.0
paid,8.9013,200,1750.26,898.72,0,15.0
free,9.0012,200,3334.63,2486.66,1,8.0
paid,9.0023,200,1649.70,797.72,0,9.0
paid,9.1012,200,2392.92,1541.10,0,10.0
paid,9.2012,200,2298.07,1441.00,0,11.0
paid,9.3012,200,2196.92,1341.14,0,12.0
paid,9.4012,200,2098.43,1241.19,0,13.0
paid,9.5012,200,1996.24,1141.53,0,14.0
paid,9.6012,200,1898.80,1041.09,0,15.0
paid,9.7012,503,4.57,nan,0,16.0
paid,9.8013,200,1696.46,840.26,0,8.0
paid,9.9013,200,2434.88,1586.83,0,9.0
free,10.0013,200,3179.53,2327.83,1,10.0
paid,10.0028,200,2336.60,1485.79,0,11.0
paid,10.1012,200,2237.87,1387.62,0,12.0
paid,10.2003,200,2138.40,1288.93,0,13.0
paid,10.3011,200,2038.95,1188.86,0,14.0
paid,10.4012,200,1937.28,1088.01,0,15.0
paid,10.5012,503,3.68,nan,0,16.0
paid,10.6012,503,4.43,nan,0,16.0
paid,10.7013,200,1639.22,786.86,0,8.0
paid,10.8012,200,2375.86,1529.47,0,9.0
paid,10.9012,200,2280.24,1429.60,0,10.0
paid,11.0013,200,2179.85,1327.80,0,11.0
free,11.0026,200,3010.70,2168.16,1,12.0
paid,11.1012,200,2075.50,1229.48,0,13.0
paid,11.2012,200,1978.23,1129.78,0,14.0
paid,11.3012,200,1878.75,1029.98,0,15.0
paid,11.4011,503,2.95,nan,0,16.0
paid,11.5001,200,1680.19,831.43,0,8.0
paid,11.6013,200,2415.00,1569.32,0,9.0
paid,11.7013,200,2314.78,1469.43,0,10.0
paid,11.8012,200,2215.34,1369.94,0,11.0
paid,11.9012,200,2112.40,1270.41,0,12.0
free,12.0013,200,2854.80,2006.40,1,13.0
paid,12.0025,200,2014.35,1168.16,0,14.0
paid,12.1012,200,1915.97,1070.06,0,15.0
paid,12.2013,503,4.95,nan,0,16.0
paid,12.3012,503,3.79,nan,0,16.0
paid,12.4012,200,1614.56,769.42,0,8.0
paid,12.5012,200,2352.20,1507.59,0,9.0
paid,12.6012,200,2255.15,1407.55,0,10.0
paid,12.7012,200,2155.77,1307.42,0,11.0
paid,12.8012,200,2055.44,1207.44,0,12.0
paid,12.9003,200,1957.11,1109.02,0,13.0
paid,13.0012,200,1856.55,1006.59,0,14.0
free,13.0024,200,3536.14,2685.46,1,15.0
paid,13.1012,503,3.27,nan,0,16.0
paid,13.2012,200,1657.25,807.95,0,8.0
paid,13.3005,200,2392.43,1547.95,0,9.0
paid,13.4012,200,2294.75,1446.85,0,10.0
paid,13.5012,200,2196.76,1346.83,0,11.0
paid,13.6012,200,2096.23,1246.83,0,12.0
paid,13.7012,200,1994.47,1147.29,0,13.0
paid,13.8012,200,1895.07,1047.02,0,14.0
paid,13.9012,200,1795.43,947.37,0,15.0
free,14.0013,503,5.07,nan,0,16.0
paid,14.0024,503,5.82,nan,0,16.0
paid,14.1012,200,1595.78,747.02,0,8.0
paid,14.2010,200,2341.05,1486.82,0,9.0
paid,14.3012,200,2240.42,1386.36,0,10.0
paid,14.4012,200,2141.19,1286.97,0,11.0
paid,14.5012,200,2037.75,1187.06,0,12.0
paid,14.6012,200,1940.15,1086.68,0,13.0
paid,14.7012,200,1841.65,987.24,0,14.0
paid,14.8013,200,1741.97,886.57,0,15.0
paid,14.9012,200,2475.48,1631.96,0,8.0
free,15.0003,200,3223.59,2370.03,1,9.0
paid,15.0017,200,2377.45,1531.57,0,10.0
paid,15.1010,200,2279.24,1432.58,0,11.0
paid,15.2012,200,2178.58,1331.71,0,12.0
paid,15.3013,200,2078.24,1231.62,0,13.0
paid,15.4012,200,1979.37,1132.09,0,14.0
paid,15.5012,200,1880.02,1032.30,0,15.0
paid,15.6012,503,4.09,nan,0,16.0
paid,15.7004,200,1676.57,833.57,0,8.0
paid,15.8012,200,2419.22,1570.17,0,9.0
paid,15.9012,200,2321.52,1470.28,0,10.0
paid,16.0012,200,2223.16,1368.94,0,11.0
free,16.0026,200,3065.87,2212.06,1,12.0
paid,16.1005,200,2119.51,1271.31,0,13.0
paid,16.2012,200,2021.89,1170.84,0,14.0
paid,16.3012,200,1922.21,1070.23,0,15.0
paid,16.4012,503,3.55,nan,0,16.0
paid,16.5012,503,4.53,nan,0,16.0
paid,16.6012,200,1623.65,770.48,0,8.0
paid,16.7011,200,2367.01,1514.02,0,9.0
paid,16.8012,200,2267.55,1413.09,0,10.0
paid,16.9012,200,2166.39,1313.65,0,11.0
free,17.0012,200,2905.64,2057.38,1,12.0
paid,17.0025,200,2062.76,1212.32,0,13.0
paid,17.1006,200,1968.50,1114.28,0,14.0
paid,17.2012,200,1868.30,1014.06,0,15.0
paid,17.3012,503,4.28,nan,0,16.0
paid,17.4012,200,1666.70,814.12,0,8.0
paid,17.5012,200,2405.97,1558.75,0,9.0
paid,17.6012,200,2308.05,1458.57,0,10.0
paid,17.7012,200,2208.56,1358.89,0,11.0
paid,17.8013,200,2108.21,1258.38,0,12.0
paid,17.9012,200,2008.91,1158.44,0,13.0
free,18.0012,200,3591.20,2740.95,1,14.0
paid,18.0027,200,1908.13,1056.35,0,15.0
paid,18.1013,503,3.92,nan,0,16.0
paid,18.2012,503,3.37,nan,0,16.0
paid,18.3012,200,1610.04,758.01,0,8.0
paid,18.4013,200,2348.09,1500.81,0,9.0
paid,18.5012,200,2253.32,1401.26,0,10.0
paid,18.6011,200,2151.70,1302.03,0,11.0
paid,18.7011,200,2054.00,1202.44,0,12.0
paid,18.8012,200,1951.33,1101.47,0,13.0
paid,18.9012,200,1851.98,1001.33,0,14.0
paid,19.0012,200,1752.25,900.37,0,15.0
free,19.0023,503,4.01,nan,0,16.0
paid,19.1011,200,1652.68,801.62,0,8.0
paid,19.2011,200,2390.98,1543.03,0,9.0
paid,19.3012,200,2292.07,1442.31,0,10.0
paid,19.4012,200,2187.92,1342.87,0,11.0
paid,19.5012,200,2091.75,1242.79,0,12.0
paid,19.6005,200,1988.88,1143.47,0,13.0
paid,19.7012,200,1892.41,1043.08,0,14.0
paid,19.8012,200,1792.71,943.22,0,15.0
paid,19.9012,503,4.02,nan,0,16.0
free,20.0013,200,3279.72,2426.91,1,8.0
paid,20.0027,200,2434.89,1580.56,0,9.0
paid,20.1012,200,2336.74,1481.80,0,10.0
paid,20.2012,200,2238.44,1382.26,0,11.0
paid,20.3013,200,2137.41,1282.43,0,12.0
paid,20.4012,200,2037.11,1182.19,0,13.0
paid,20.5012,200,1933.90,1082.35,0,14.0
paid,20.6012,200,1838.87,981.94,0,15.0
paid,20.7012,503,3.63,nan,0,16.0
paid,20.8013,200,1634.18,781.67,0,8.0
paid,20.9013,200,2382.46,1527.63,0,9.0
free,21.0008,200,3123.43,2272.90,1,10.0
paid,21.0025,200,2281.58,1426.74,0,11.0
paid,21.1013,200,2183.93,1327.92,0,12.0
paid,21.2013,200,2080.06,1227.75,0,13.0
paid,21.3013,200,1983.10,1127.77,0,14.0
paid,21.4012,200,1883.44,1028.16,0,15.0
paid,21.5012,503,5.86,nan,0,16.0
paid,21.6010,200,1684.77,828.75,0,8.0
paid,21.7012,200,2422.70,1573.86,0,9.0
paid,21.8013,200,2323.78,1473.81,0,10.0
paid,21.9012,200,2220.08,1373.87,0,11.0
paid,22.0012,200,2123.31,1274.06,0,12.0
free,22.0022,200,2965.48,2114.49,1,13.0
paid,22.1013,200,2024.31,1174.21,0,14.0
paid,22.2012,200,1924.88,1074.00,0,15.0
paid,22.3013,503,4.56,nan,0,16.0
paid,22.4013,503,3.85,nan,0,16.0
paid,22.5013,200,1622.38,773.52,0,8.0
paid,22.6012,200,2370.66,1514.44,0,9.0
paid,22.7003,200,2270.53,1415.05,0,10.0
paid,22.8013,200,2170.21,1314.54,0,11.0
paid,22.9013,200,2069.90,1214.65,0,12.0
free,23.0010,200,3644.96,2796.19,1,13.0
paid,23.0025,200,1967.80,1113.01,0,14.0
paid,23.1004,200,1872.21,1015.34,0,15.0
