concurrency,worker,index,status,latency_ms,wait_ms,inference_ms,batch_size,ttft_client_ms,ttft_server_ms
1,0,0,200,816.429,10.414,802.975,1.00,nan,43.351
1,0,1,200,819.226,10.454,806.755,1.00,nan,43.823
1,0,2,200,802.202,10.414,789.907,1.00,nan,44.125
1,0,3,200,847.425,10.288,833.865,1.00,nan,42.747
1,0,4,200,812.468,10.027,799.688,1.00,nan,71.754
1,0,5,200,844.547,10.401,832.337,1.00,nan,44.868
1,0,6,200,842.538,10.395,830.139,1.00,nan,41.521
1,0,7,200,837.931,10.444,824.714,1.00,nan,45.652
1,0,8,200,799.821,10.425,787.150,1.00,nan,47.412
1,0,9,200,811.701,10.415,799.312,1.00,nan,43.474
1,0,10,200,799.598,10.401,787.258,1.00,nan,44.314
1,0,11,200,798.652,10.408,786.123,1.00,nan,43.903
1,0,12,200,826.269,10.448,813.776,1.00,nan,45.343
1,0,13,200,802.131,10.405,789.664,1.00,nan,42.347
1,0,14,200,794.044,10.408,781.666,1.00,nan,45.883
1,0,15,200,804.639,10.395,792.292,1.00,nan,43.416
4,0,0,200,920.393,10.545,904.839,4.00,nan,67.514
4,3,0,200,920.563,10.363,904.839,4.00,nan,67.333
4,1,0,200,921.443,10.477,904.839,4.00,nan,67.447
4,2,0,200,921.564,10.439,904.839,4.00,nan,67.408
4,0,1,200,899.589,10.517,884.948,4.00,nan,66.431
4,2,1,200,898.161,9.218,884.948,4.00,nan,65.131
4,3,1,200,899.835,9.747,884.948,4.00,nan,65.661
4,1,1,200,899.854,9.420,884.948,4.00,nan,65.334
4,0,2,200,871.431,10.344,856.364,4.00,nan,68.053
4,1,2,200,870.222,9.200,856.364,4.00,nan,66.909
4,2,2,200,872.512,9.756,856.364,4.00,nan,67.465
4,3,2,200,872.056,9.436,856.364,4.00,nan,67.145
4,0,3,200,921.685,10.023,906.104,4.00,nan,83.844
4,3,3,200,919.968,8.586,906.104,4.00,nan,82.407
4,1,3,200,921.640,9.193,906.104,4.00,nan,83.014
4,2,3,200,921.336,8.786,906.104,4.00,nan,82.607
8,0,0,200,1016.733,2.772,1002.639,8.00,nan,129.242
8,2,0,200,1017.600,2.620,1002.639,8.00,nan,129.089
8,7,0,200,1014.144,1.151,1002.639,8.00,nan,127.621
8,3,0,200,1015.930,2.585,1002.639,8.00,nan,129.055
8,4,0,200,1015.991,2.511,1002.639,8.00,nan,128.981
8,1,0,200,1019.783,2.661,1002.639,8.00,nan,129.131
8,5,0,200,1016.629,2.477,1002.639,8.00,nan,128.947
8,6,0,200,1016.856,1.317,1002.639,8.00,nan,127.786
8,0,1,200,1023.690,6.309,1010.303,8.00,nan,173.584
8,4,1,200,1022.293,3.752,1010.303,8.00,nan,171.027
8,1,1,200,1021.996,1.148,1010.303,8.00,nan,168.424
8,6,1,200,1021.165,2.825,1010.303,8.00,nan,170.101
8,3,1,200,1023.291,2.306,1010.303,8.00,nan,169.582
8,2,1,200,1024.538,4.778,1010.303,8.00,nan,172.053
8,7,1,200,1024.353,1.651,1010.303,8.00,nan,168.927
8,5,1,200,1022.733,1.320,1010.303,8.00,nan,168.595
